corpus,cog_load,metric,post_slope,mk_post_tau,mk_post_p,its_slope_change,its_slope_change_p
Cross Validated,high,overall,0.0011293401821960633,0.6483516483516484,0.0007575015418517403,0.0013368076474404899,1.861517070483669e-16
Cross Validated,high,within,0.0014328828144508532,0.23076923076923078,0.2791797743335442,0.0014854082639849664,0.0024324301136239516
Philosophy,high,overall,0.0012356261107108104,0.5604395604395604,0.004565983394728434,0.0012614699305345835,0.00013208048664050206
Philosophy,high,within,0.0008623890888887487,0.18681318681318684,0.3879883441211566,0.0013100851101292034,0.09465370090701226
Economics,high,overall,0.0011995200701959234,0.18095238095238098,0.3794503959627968,0.0022867659076685268,0.00045399123410861135
Economics,high,within,0.0035578959499268648,0.3142857142857143,0.11424717239544455,0.004245883387212299,0.04428248869680824
Seasoned Advice,low,overall,-0.0004294053498147358,-0.3904761904761905,0.04629247541540862,-0.00028621017200960964,0.12377229198569038
Seasoned Advice,low,within,0.0005766612683938173,0.1619047619047619,0.43511891093211363,0.0008466150466413584,0.17363272799292662
Travel,low,overall,0.0009142863404184798,0.561904761904762,0.0028582293753424705,0.0011871832036194267,3.0757133199908834e-07
Travel,low,within,0.0006547994101386382,0.18095238095238098,0.3794503959627968,0.00034842158965249303,0.6303403374548426
