corpus,metric,slope_change,slope_change_p,post_slope,mk_post_p,prepost_p
Cross Validated,overall,0.0013585196430264549,1.5174283293249216e-20,0.0010205886996682008,4.906475309914463e-06,0.0
Cross Validated,within_Q,-0.0014573612955168411,4.531411805069976e-09,-0.000748402758964892,0.3282335876694342,0.405
Philosophy,overall,0.0012296679865105844,7.273824756269747e-06,0.0012290563440178074,0.0012858607977242237,0.0
Philosophy,within_Q,0.002083330441663874,3.030189664461085e-23,0.0017452074503277921,0.00019989992034469547,1.0
Economics,overall,0.001525833885409782,0.003878517253041699,0.0011641658220875914,0.5452047007776174,0.0633
Economics,within_Q,0.0008099770959930763,0.5938833775617209,0.0013922439203214942,0.5452047007776174,0.0707
Seasoned Advice,overall,-0.0005526434785094572,0.010385019401849084,-0.0007683243932052606,0.058995845051235264,0.9687
Seasoned Advice,within_Q,-0.0007959387006298321,0.052037661835379966,-0.0008883009480037962,0.23945881568583288,0.9994
Travel,overall,0.0014725491966557614,3.2576189790524983e-09,0.0011799722488239144,0.00414288160001619,0.0652
Travel,within_Q,0.0023373376084349397,0.017170698832069092,0.0015579470156769912,0.6264945175158468,0.0676
