corpus,metric,n_quarters,slope_change,slope_change_p,post_slope,mk_tau_post,mk_p_post,prepost_diff,prepost_p
Cross Validated,ai_match_cosine,64,-0.0035208786920115204,0.03363773784195008,-0.0028714253018116264,-0.23809523809523814,0.23945881568583288,-0.0006901287441395398,0.5284
Cross Validated,match_minus_mismatch,64,-0.001915690974605379,0.18730987861597992,-0.001006319940210425,-0.028571428571428574,0.9225700904951897,0.0012837984164311145,0.4564
Economics,ai_match_cosine,47,0.003955208793387739,2.1210365349399184e-06,0.0035230768540075365,0.4285714285714286,0.027495265215751328,0.016433502612098083,0.0355
Economics,match_minus_mismatch,47,0.0051756636222425045,4.4471246815052015e-08,0.005146431428907246,0.4666666666666667,0.015510823225067603,0.02265923308987805,0.023
Philosophy,ai_match_cosine,61,0.0032093439669017686,7.420715591761015e-05,0.0026773194916196396,0.2571428571428572,0.20184282422518202,-0.007385712395041488,0.7699
Philosophy,match_minus_mismatch,61,0.0017719832117736923,0.1676061773460914,0.0014446480482190533,0.12380952380952381,0.5589660721223221,-0.023196517777833603,0.9565
Seasoned Advice,ai_match_cosine,64,0.0024976136540227492,0.25457316670324137,0.002304120557642041,0.10476190476190476,0.6264945175158468,-0.006002021867097862,0.733
Seasoned Advice,match_minus_mismatch,64,0.004225466293451038,0.08881987472172967,0.003774332075933168,0.23809523809523814,0.23945881568583288,-0.0012289098348245986,0.5373
Travel,ai_match_cosine,61,0.0014262142063423873,0.4703229055494903,0.0009282265935700356,0.04761904761904762,0.845841042458974,0.0024466524393965683,0.39
Travel,match_minus_mismatch,61,0.0044610385980714574,0.11282941420776459,0.0038124990585283124,0.3142857142857143,0.11424717239544455,-0.0030056943667094993,0.574
