corpus,cog_load,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Cross Validated,high,sem_pairwise_cosine,64,-0.00029804483474745564,0.0014211977792246337,0.006833332031775997,0.02087322349568961,0.001382679178299675,8.485999455588444e-32,0.0010846343435522193,-0.0029761904761904765,0.9722697347397922,0.7142857142857143,6.710364303783617e-05,-1.3472427223999537e-06,0.006974651567954411,0.003827963333668374,0.010049510859338343,0.0
Cross Validated,high,lc_sem_pairwise_cosine,64,-0.00021943232743350526,0.003973130417752182,0.006509940596101174,0.025363676813040845,0.0012814888638351992,6.298036576351124e-18,0.001062056536401694,0.07837301587301587,0.35998571663799017,0.7333333333333334,3.702856397962218e-05,5.785286077093675e-05,0.008458528165074877,0.00544840527187423,0.011367582125944015,0.0
Philosophy,high,sem_pairwise_cosine,61,-3.54238108784578e-05,0.49978638009807874,0.0021818566734673125,0.5120458377904463,0.0011713222091152308,0.0006964401881081027,0.001135898398236773,0.22076502732240436,0.011935095709655844,0.40952380952380957,0.03589723736788882,0.0001425651267321552,0.009300685905480804,0.005105618458299637,0.013341894035879905,0.0
Philosophy,high,lc_sem_pairwise_cosine,61,3.902239009079766e-05,0.4455644138403996,-0.0017476055859131916,0.5155173892585203,0.0013105103266379977,3.040403514221738e-05,0.0013495327167287953,0.2972677595628415,0.0007110941091659886,0.5047619047619049,0.008269998948239689,0.00019930622157207534,0.008616149598322187,0.004077680564314182,0.013043096365583352,0.0
Economics,high,sem_pairwise_cosine,47,-0.0006472283812846589,7.453945846198443e-07,0.00646386541743333,0.15363456275332688,0.0022867659076685268,0.00045399123410861135,0.0016395375263838679,-0.07493061979648476,0.4575987009352612,0.18095238095238098,0.3794503959627968,-8.524661922632015e-05,0.007261359810923185,1.8338762333545336e-05,0.015746515692408435,0.0248
Economics,high,lc_sem_pairwise_cosine,47,-0.0006025884352844026,4.7399461430173313e-07,0.003871425260452435,0.35483418770488195,0.0029996807017019338,8.454778650834633e-05,0.0023970922664175312,0.004625346901017576,0.9634279993675792,0.5047619047619049,0.008269998948239689,6.600587867199909e-06,0.010708361943182143,0.0018029676548794622,0.020627307997920976,0.0071
Cryptography,high,sem_pairwise_cosine,60,-0.00048748490087708663,1.408432309406911e-10,-0.0023663494818355986,0.3135084977623339,0.001669644721436065,4.574713961081687e-06,0.0011821598205589783,-0.5559322033898305,3.4765958733930987e-10,0.37142857142857144,0.058995845051235264,-0.00034007417479271833,-0.005303383458095945,-0.009775996239966042,2.3632695157328294e-05,0.9745
Cryptography,high,lc_sem_pairwise_cosine,60,-0.0004071295535587661,1.894619918850147e-12,-0.006057934476240047,0.020066519515794874,0.0016910251194153382,1.55546052678088e-06,0.001283895565856572,-0.5141242937853108,6.4784314285295375e-09,0.37142857142857144,0.058995845051235264,-0.0003280569175370388,-0.006434645247095777,-0.010788662609056168,-0.0016127319072680396,0.9951
Law,high,sem_pairwise_cosine,45,-0.0003218418696552453,0.0007369329207314664,0.007552344577845569,0.0013425438414693214,0.0005995532986224721,0.0009688759674523598,0.0002777114289672268,0.14545454545454545,0.15893748954289688,0.33333333333333337,0.09264256691158146,6.93963834701919e-05,0.004507775600960023,0.00230633480520474,0.006623624172081815,0.0001
Law,high,lc_sem_pairwise_cosine,45,-0.0002643438683317728,0.054205927353158836,0.008109607377294848,0.011143702213472365,0.0006594107642715884,0.01385055053953377,0.0003950668959398156,0.22828282828282825,0.027049394307273895,0.2571428571428572,0.20184282422518202,0.00017768035346528714,0.0067777456897311905,0.003991075780965346,0.009625280650325288,0.0
History,high,sem_pairwise_cosine,59,-0.00030165431439684135,4.256865180166657e-11,-0.0016321005626952455,0.3674527335558574,0.0007167884691058187,0.00020093284154513465,0.0004151341547089774,-0.5149035651665692,8.34743525545395e-09,0.21904761904761905,0.2815660702955676,-0.00021540755383227117,-0.005513383553661516,-0.008373738074695486,-0.0025599997996701277,1.0
History,high,lc_sem_pairwise_cosine,59,-0.00027317807279732595,9.252176991112607e-15,-0.0007364453548778932,0.620260016060767,0.0008710461715686598,4.587816847438929e-08,0.0005978680987713339,-0.3465809468147282,0.00010535511699600563,0.3142857142857143,0.11424717239544455,-0.00015177083651037339,-0.0026978753014186008,-0.005685785697880524,0.0005009227123412667,0.9509
Computer Science,high,sem_pairwise_cosine,58,-0.0001263061277490497,0.2205169891684261,0.002539917255787994,0.15270750242757447,0.0008514144175584418,1.2324131799737128e-09,0.0007251082898093921,0.190562613430127,0.03459943552191302,0.4476190476190477,0.020790615322361355,0.00010553026887330993,0.00483694047397451,0.002050792558101262,0.007461596301262147,0.0003
Computer Science,high,lc_sem_pairwise_cosine,58,-8.946252533843897e-05,0.4618159924744667,0.002108086396157005,0.35929933707082806,0.0010452157312760722,1.3089303967980196e-06,0.0009557532059376332,0.2595281306715063,0.004005529282665309,0.4666666666666667,0.015510823225067603,0.00016017818853047487,0.00683018328027471,0.003265539769492079,0.010463282924078486,0.0
Biology,high,sem_pairwise_cosine,59,-0.0001519458369534271,0.2686684798770711,-0.005250344989308327,0.18425531804790063,0.001593990788622793,0.0002658475286692211,0.0014420449516693659,-0.0064289888953828166,0.9426541461565519,0.48571428571428577,0.01140991603041041,-3.330551378882829e-06,0.0014251883409250043,-0.0030259979248809625,0.006343064466516935,0.2777
