corpus,cog_load,n_quarters,first_q,last_q,sem_pairwise_cosine_pre_mean,sem_pairwise_cosine_post_mean,sem_pairwise_cosine_delta,sem_pairwise_cosine_post_slope,lc_sem_pairwise_cosine_pre_mean,lc_sem_pairwise_cosine_post_mean,lc_sem_pairwise_cosine_delta,lc_sem_pairwise_cosine_post_slope
Cross Validated,high,64,2010Q3,2026Q2,0.059226127107138406,0.06620077867509282,0.006974651567954411,0.0010846343435524691,0.0699023831628584,0.07836091132793328,0.008458528165074877,0.0010620565364018828
Philosophy,high,61,2011Q2,2026Q2,0.11447151935325915,0.12377220525873996,0.009300685905480804,0.0011358983982367975,0.1311226565598573,0.1397388061581795,0.008616149598322187,0.0013495327167288103
Economics,high,47,2014Q4,2026Q2,0.13249001660557325,0.13975137641649643,0.007261359810923185,0.0016395375263838087,0.15281477912250563,0.16352314106568777,0.010708361943182143,0.0023970922664175247
Cryptography,high,60,2011Q3,2026Q2,0.1279650733284761,0.12266168987038015,-0.005303383458095945,0.0011821598205590943,0.1437640248985328,0.13732937965143702,-0.006434645247095777,0.0012838955658566699
Law,high,45,2015Q2,2026Q2,0.10673396107105802,0.11124173667201805,0.004507775600960023,0.00027771142896725385,0.12451131664706669,0.13128906233679788,0.0067777456897311905,0.0003950668959398671
History,high,59,2011Q4,2026Q2,0.07046155029406588,0.06494816674040436,-0.005513383553661516,0.0004151341547090236,0.08046587189639448,0.07776799659497588,-0.0026978753014186008,0.0005978680987713963
Computer Science,high,58,2012Q1,2026Q2,0.0965290627359033,0.1013660032098778,0.00483694047397451,0.0007251082898093904,0.10951750422948468,0.11634768750975939,0.00683018328027471,0.0009557532059376315
Biology,high,59,2011Q4,2026Q2,0.07600384004517667,0.07742902838610168,0.0014251883409250043,0.0014420449516695003,0.0875722663795197,0.087785548135527,0.00021328175600729415,0.0018714113462992396
Astronomy,high,52,2013Q3,2026Q2,0.13673461593671044,0.1335894836199379,-0.0031451323167725476,0.0004187015137029663,0.1497792225324808,0.1475131874282315,-0.002266035104249303,0.0005408291129505781
Chemistry,high,57,2012Q2,2026Q2,0.09874430815766695,0.10522318482751973,0.006478876669852779,0.0008907032357837803,0.10561248585514192,0.11214936549805923,0.006536879642917312,0.0007962561871757578
Electrical Engineering,high,67,2009Q4,2026Q2,0.05367462146607497,0.059219562482879705,0.005544941016804736,0.0008680317738917304,0.06286655788783527,0.0717227368934363,0.00885617900560104,0.0008532255035307075
Physics,high,63,2010Q4,2026Q2,0.04712439923722459,0.04965515190641107,0.0025307526691864812,0.00010445104080648954,0.055993028229044985,0.05874701685485585,0.0027539886258108673,-2.3806083495006175e-06
Software Engineering,high,72,2008Q3,2026Q2,0.08916720332373383,0.08156334861963153,-0.0076038547041022975,0.00012904459124765116,0.10323878012609483,0.09180941539446114,-0.011429364731633695,-8.189023758523324e-05
English Language & Usage,high,64,2010Q3,2026Q2,0.05671948425169606,0.06079298153666725,0.004073497284971188,0.0001969240400837294,0.07190872589295509,0.08271258991500287,0.010803864022047777,0.0007256715614209156
Seasoned Advice,low,64,2010Q3,2026Q2,0.127722554642956,0.1236955198759767,-0.004027034766979312,-0.0005240914087887759,0.12810039737475926,0.12646849775562197,-0.0016318996191372892,-0.00025809999475644044
Travel,low,61,2011Q2,2026Q2,0.07899679236915345,0.08058158507276705,0.0015847927036135995,0.0009192188945719809,0.0894490559898007,0.09612422439104217,0.006675168401241466,0.001224096318770842
Bicycles,low,64,2010Q3,2026Q2,0.10032468314074487,0.09226145919467932,-0.008063223946065554,0.0006599503661357267,0.11556434456016702,0.10457861503217182,-0.010985729527995203,0.000586287753315197
Gardening,low,61,2011Q2,2026Q2,0.12900526965080966,0.13325713290919455,0.004251863258384891,0.00025593379337751426,0.13883664151298955,0.13918108539550672,0.0003444438825171703,-9.994730132650853e-05
Role-playing Games,low,64,2010Q3,2026Q2,0.07257437464263351,0.06582718217750856,-0.0067471924651249515,0.0003965393625756584,0.08887015407747209,0.08161312096820317,-0.007257033109268923,0.0005907027867930573
Board Games,low,63,2010Q4,2026Q2,0.10520877182843112,0.11647419216554146,0.011265420337110338,1.6185303900583953e-05,0.12608604140324253,0.1419089610630754,0.015822919659832874,0.00034099376656518854
Personal Finance & Money,low,67,2009Q4,2026Q2,0.09795881625315025,0.09442396951418723,-0.003534846738963024,0.0002126452069055299,0.10615712569018278,0.10314454643140455,-0.0030125792587782224,0.0004195439787677708
Photography,low,64,2010Q3,2026Q2,0.12541290969331823,0.12693927147518083,0.0015263617818626063,0.0004971170371785985,0.14357178237332865,0.15045959593096603,0.006887813557637373,0.0012891823268526678
The Workplace,low,57,2012Q2,2026Q2,0.1071035312404286,0.11246147187904004,0.005357940638611447,0.0013344602464420159,0.12157167806737912,0.12572052881064705,0.004148850743267929,0.001193250075393567
Home Improvement,low,64,2010Q3,2026Q2,0.0551650751407798,0.05661369930834917,0.0014486241675693706,0.0004994946509749702,0.05917728874888327,0.05955798696007665,0.000380698211193381,0.00017961000675953753
Science Fiction & Fantasy,low,62,2011Q1,2026Q2,0.06586458235159783,0.08915654702573693,0.023291964674139104,0.0008478451901194388,0.07615079208228456,0.10089690327880343,0.024746111196518872,0.0009454401072390874
Arqade (Gaming),low,64,2010Q3,2026Q2,0.05558743832816227,0.05315767335128219,-0.0024297649768800778,0.000526632429848039,0.06483527020658651,0.058820352031795003,-0.006014918174791509,0.0005565873907143674
