quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2011Q4,185,185,105,0.10661667760406275,0.8885542233559592,56.270657454890014,0.1088689938875819,0.8826440441494428,44.70653210363214,0.09597949945164974,0.11832076873102206,0.09662022849281697,0.12285202729092211
2012Q1,582,582,398,0.08332898244927178,0.9150959814380981,82.31823897690366,0.09265519271137189,0.9050650464662948,76.22160485190514,0.0779800086390773,0.08889394777025703,0.08603389787669441,0.09872580662367345
2012Q2,533,533,348,0.08758762305407916,0.9107005338372043,78.60211703152127,0.09836622848207147,0.8990428698756356,72.31725426411163,0.08212981130077816,0.09382445385086291,0.09057767451868351,0.10614479728481077
2012Q3,449,449,319,0.08401065935712838,0.9139492752962283,79.68102265480297,0.09733612652490635,0.8998342061601247,73.2539879725904,0.07822772565636643,0.0903366066661956,0.08999277411141055,0.10452805190591255
2012Q4,442,442,292,0.07884358513772934,0.9190723505752519,77.74965062285595,0.09199706756345045,0.9048933333528627,68.56438762253025,0.07324304986649421,0.0848239177090921,0.08503452609672292,0.09940619911534411
2013Q1,510,510,345,0.07391734083741505,0.9242668108112857,82.01296029951553,0.08396804232797878,0.9133767925773197,75.21250713452154,0.0689241308899657,0.07890022498380546,0.07812475848485592,0.08992388941281988
2013Q2,564,564,373,0.07509488187293184,0.9232652154353536,84.660524375645,0.09158540598111023,0.9059791661528874,78.81366094527128,0.0702688632351571,0.08013037506612868,0.08452672432674932,0.09950225963245243
2013Q3,731,731,473,0.0740375459745079,0.9246957475220372,86.17613796181753,0.08593875165873181,0.9121287721291302,79.31489743370233,0.06984402355467083,0.07828746966038408,0.08007564362923862,0.09173712498451807
2013Q4,706,706,496,0.08190272680727041,0.9167968521258844,86.61100590001246,0.09659551551224761,0.9015831044787045,80.29299981512897,0.07702521235069125,0.08695839822102502,0.09055765018651228,0.10271879627419242
2014Q1,831,800,519,0.08335581344870441,0.9154983813181065,84.62862886729259,0.0946434544863308,0.9036121205704829,78.89426745270936,0.07863644637427104,0.08805833187273278,0.08839739241423912,0.1011268148815418
2014Q2,973,800,547,0.07358128224839244,0.925260694354418,89.50207862052486,0.08476089754060047,0.913565904831503,83.3478693679273,0.06957768662675591,0.0777540381767044,0.08004474360850586,0.09014785111585585
