quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim
2010Q3,2199,800,316,0.09573501064727795,0.9031346581160311,99.34455754356885,0.10074073496260066,0.8964135078695594,98.6202706945903
2010Q4,1689,800,374,0.09777386754910544,0.9010983497853309,117.62603291146301,0.10005497150631637,0.8975387583640214,106.2613924061931
2011Q1,1772,800,403,0.10419474947622434,0.8946854939606209,119.73285850889032,0.10142134830800645,0.8963489279905246,108.58982953921063
2011Q2,1924,800,405,0.09998148524889211,0.898893491607669,120.32658098714087,0.09692437222575116,0.9008458114093741,105.80481167207675
2011Q3,2000,800,413,0.10282395088749505,0.8960545790511143,118.17885687363929,0.10022508931847454,0.8975962789365339,105.18641993273116
2011Q4,2156,800,416,0.10214234560563984,0.8967353323263672,117.56111593386568,0.09889604475568789,0.8989378399672825,107.17410085058329
2012Q1,2549,800,405,0.10565181939458745,0.8932302453796558,122.65581316019254,0.10201424781415386,0.8957685034150169,106.44480925017838
2012Q2,2815,800,476,0.10894026683141554,0.8899459085021237,115.49716374620913,0.09848627964199835,0.899619783970695,108.8202343647323
2012Q3,2781,800,472,0.10532405538939989,0.8935575996798368,119.55827462987467,0.09600486799248396,0.9020798880837713,110.56552795665175
2012Q4,2746,800,439,0.10169976752752051,0.8971773571818888,125.40882925525545,0.09593255731080658,0.9020080635486714,112.42392857688552
2013Q1,2806,800,435,0.1015695275423465,0.8973074343670815,125.5936602752308,0.09540205852710647,0.9025184059752547,111.57706478466217
2013Q2,3258,800,439,0.10157578963834213,0.8973011800987059,122.31844741419705,0.09574522422750872,0.9021949699051279,112.48369655750056
2013Q3,3382,800,458,0.10630197766428688,0.8925808998077935,123.79034662292348,0.09461796657802032,0.9034052167551194,112.78581988695139
2013Q4,3264,800,477,0.1067789572629749,0.8921045164336038,125.01868714009976,0.09486327362513092,0.9032391651036429,115.7940346061331
2014Q1,3893,800,442,0.10101625355538295,0.8978600167615612,125.91805496329721,0.09250843850374459,0.9054384131670784,113.38761074106642
2014Q2,4259,800,450,0.10398344601994897,0.894896533287576,122.93717160800989,0.09538721927510772,0.9026025301010592,111.84138154219512
2014Q3,4216,800,466,0.10415796494566924,0.8947222325105129,124.23297388837709,0.09348917122703712,0.9045655265652955,113.93468341953766
2014Q4,4135,800,420,0.10035641975997278,0.8985190257647272,123.04700603937461,0.09249511502688086,0.9053441590565164,110.0474929475595
2015Q1,4304,800,459,0.10561534914593204,0.8932666700405003,125.78731529158993,0.09254857053709713,0.9054744110980599,114.78612006743857
2015Q2,4616,800,478,0.10554585451145775,0.8933360778066816,125.06255247540257,0.09272522645337235,0.905376709166823,113.76139730200202
2015Q3,4713,800,475,0.10366689689939253,0.8952126867217317,127.09947884871809,0.09198970693847985,0.9060986924445485,115.49648614927231
