topic,size,pre_share,post_share,delta,top_words
4,932,0.028938163042957727,0.06677437584092631,0.03783621279796859,4_hazard_censoring_hazards_censored
3,1029,0.033094303519956514,0.06790048396696959,0.03480618044701307,3_crossed_intervention_pre_posttreatment
7,679,0.023519144969984702,0.039658083538918844,0.01613893856893414,7_rejection_rejecting_onesided_h0
28,348,0.01170590043538416,0.022976901063127907,0.011271000627743747,28_dag_causality_confounding_causation
43,203,0.006260456886530243,0.016709595898088757,0.010449139011558514,43_knots_knot_gam_mgcv
20,440,0.015865958403763383,0.02375442328569941,0.007888464881936025,20_imputation_missingness_imputed_mar
8,665,0.02461848444250923,0.032491892190235225,0.007873407747725995,8_zeroinflated_overdispersion_hurdle_arrival
44,200,0.006919261726139462,0.014127956702738082,0.0072086949765986195,44_cfa_loadings_sem_confirmatory
19,447,0.016171350606992083,0.023032050138414133,0.00686069953142205,19_likelihoods_mles_hessian_maximizes
24,407,0.015207990299249968,0.02138398025138109,0.006175989952131122,24_twoway_threeway_centering_3way
50,166,0.00609860257535607,0.01145556947608538,0.00535696690072931,50_gpower_underpowered_posthoc_calculator
39,228,0.008180132395571743,0.013535826573906583,0.005355694178334839,39_multicollinearity_collinearity_vif_vifs
37,234,0.008855921085636707,0.012808527741324837,0.00395260665568813,37_bonferroni_fdr_familywise_fwer
47,182,0.006964321832432141,0.010623010061456373,0.003658688229024232,47_unbiasedness_lln_lhs_riemann
21,431,0.01645695423984976,0.019522662332188637,0.0030657080923388765,21_wilcoxon_mannwhitney_medians_welch
11,570,0.022086420050353946,0.025099404339267765,0.0030129842889138198,11_homoscedasticity_heteroscedasticity_regressing_studentized
34,248,0.009172041596723066,0.012058690179618555,0.002886648582895489,34_entropy_divergence_kl_mutual
12,564,0.021837797155657503,0.024454973264581688,0.0026171761089241845,12_pivotal_wilson_clopperpearson_credible
29,328,0.01253253927199928,0.014386509680762289,0.0018539704087630095,29_roc_auc_positives_pr
52,160,0.0072765440137789105,0.008903191533161348,0.0016266475193824374,52_imbalance_imbalanced_minority_oversampling
32,280,0.010849414439355144,0.01238226038172725,0.0015328459423721054,32_anomaly_boxplot_outlying_dgp
38,233,0.009332775093341648,0.010451583186631886,0.0011188080932902373,38_manova_oneway_twoway_posthoc
46,186,0.00756089790823218,0.008470971640448422,0.0009100737322162425,46_superpopulation_surveys_census_fpc
48,177,0.007461707687695497,0.008285272674450965,0.0008235649867554687,48_likert_questionnaire_5point_rating
26,390,0.015286105787294418,0.016008462175349136,0.0007223563880547172,26_medians_iqr_quartile_quartiles
17,471,0.01850444923290924,0.019109850816339907,0.0006054015834306668,17_contingency_chi_totals_2x2
31,299,0.011877910954801294,0.01240387566939251,0.0005259647145912164,31_aic_bic_aicc_akaike
35,242,0.010545989351250234,0.01081481048116705,0.00026882112991681584,35_flips_tosses_coins_toss
30,302,0.012388379043316198,0.012473923482370985,8.554443905478722e-05,30_centering_standardization_standardizing_standardisation
33,266,0.01082530244063315,0.010839244079891145,1.394163925799545e-05,33_logtransformed_boxcox_untransformed_cube
15,499,0.019805072380219127,0.0198044013721531,-6.710080660277118e-07,15_glmnet_lambda_elastic_shrinkage
54,154,0.006626809612334028,0.006511975829404148,-0.00011483378292987973,54_winning_win_player_players
40,224,0.009773623379942429,0.00949297557243468,-0.00028064780750774836,40_bootstrapped_percentile_jackknife_resample
9,627,0.024924608914671367,0.024404687368766068,-0.0005199215459052997,9_spearman_spearmans_pearsons_rho
55,151,0.007622363024875586,0.006980792848247045,-0.000641570176628541,55_iterated_taylor_learner_subscript
14,526,0.021195013768050597,0.019835722078055843,-0.0013592916899947544,14_logodds_probit_sigmoid_logits
6,771,0.030993948599074297,0.02952859895292225,-0.0014653496461520463,6_conjugate_credible_bayesians_frequentists
51,165,0.0073962423999550525,0.00566115473801516,-0.0017350876619398924,51_eigenvalues_cholesky_dot_invertible
45,186,0.008265766570859659,0.00652700389340425,-0.001738762677455409,45_mcmc_gibbs_sampler_proposal
49,173,0.00798830329771548,0.005921219250931109,-0.00206708404678437,49_unlabeled_multilabel_multiclass_classifiers
22,418,0.017333443658742967,0.014303795249381532,-0.0030296484093614347,22_usd_n1_std_squaring
53,159,0.008351835832612474,0.005133901563578504,-0.00321793426903397,53_policy_reward_agent_actions
23,413,0.01751470323488888,0.013880015961563436,-0.003634687273325443,23_jacobian_integrating_triangle_integrals
36,236,0.01059007352307531,0.006155627273854909,-0.004434446249220402,36_transition_hmm_hmms_absorbing
42,211,0.010243878435402965,0.005762284837267447,-0.004481593598135518,42_fdr_builtin_podcast_reinvent
41,219,0.010525127797336562,0.005385407116784425,-0.005139720680552137,41_svm_hyperplane_kernels_rbf
25,402,0.018139927236077664,0.009426387856699227,-0.008713539379378438,25_charts_colors_ggplot2_dot
13,564,0.02438355130658571,0.014902509307699742,-0.00948104199888597,13_boosting_forests_bagging_rf
5,911,0.03830294270292828,0.0283354145241418,-0.009967528178786478,5_folds_kfold_hyperparameters_overfit
16,493,0.02277549273052252,0.011292606415618606,-0.011482886314903913,16_psychology_undergraduate_teaching_biostatistics
27,388,0.017957281256502033,0.006429162038300856,-0.011528119218201177,27_embedding_embeddings_corpus_vocabulary
10,591,0.026278486037050842,0.01339945353321607,-0.012879032503834771,10_eigenvectors_pcs_svd_pc
18,447,0.023506181470378508,0.006386582807780661,-0.017119598662597848,18_files_latex_pseudorandom_languages
1,1298,0.05558431903646926,0.03597130297025442,-0.019613016066214836,1_layer_layers_descent_activation
2,1034,0.04554330192522029,0.025293952764154005,-0.020249349161066285,2_kmeans_centroid_centroids_mahalanobis
0,2646,0.11211026151091388,0.07821312608648469,-0.033897135424429195,0_arima_forecast_seasonal_forecasting
