quarter,topic,count,total,share
2010Q3,0,25,419,0.059665871121718374
2010Q3,1,5,419,0.011933174224343675
2010Q3,2,15,419,0.03579952267303103
2010Q3,3,8,419,0.01909307875894988
2010Q3,4,5,419,0.011933174224343675
2010Q3,5,8,419,0.01909307875894988
2010Q3,6,7,419,0.016706443914081145
2010Q3,7,8,419,0.01909307875894988
2010Q3,8,6,419,0.014319809069212411
2010Q3,9,6,419,0.014319809069212411
2010Q3,10,24,419,0.057279236276849645
2010Q3,11,6,419,0.014319809069212411
2010Q3,12,4,419,0.00954653937947494
2010Q3,13,6,419,0.014319809069212411
2010Q3,14,4,419,0.00954653937947494
2010Q3,15,5,419,0.011933174224343675
2010Q3,16,79,419,0.18854415274463007
2010Q3,17,8,419,0.01909307875894988
2010Q3,18,38,419,0.09069212410501193
2010Q3,19,5,419,0.011933174224343675
2010Q3,20,8,419,0.01909307875894988
2010Q3,21,5,419,0.011933174224343675
2010Q3,22,10,419,0.02386634844868735
2010Q3,23,4,419,0.00954653937947494
2010Q3,25,22,419,0.05250596658711217
2010Q3,26,9,419,0.021479713603818614
2010Q3,27,4,419,0.00954653937947494
2010Q3,28,9,419,0.021479713603818614
2010Q3,29,3,419,0.007159904534606206
2010Q3,30,7,419,0.016706443914081145
2010Q3,31,5,419,0.011933174224343675
2010Q3,32,3,419,0.007159904534606206
2010Q3,33,7,419,0.016706443914081145
2010Q3,34,5,419,0.011933174224343675
2010Q3,35,5,419,0.011933174224343675
2010Q3,36,1,419,0.002386634844868735
2010Q3,37,4,419,0.00954653937947494
2010Q3,38,3,419,0.007159904534606206
2010Q3,39,1,419,0.002386634844868735
2010Q3,40,4,419,0.00954653937947494
2010Q3,41,1,419,0.002386634844868735
2010Q3,42,4,419,0.00954653937947494
2010Q3,43,1,419,0.002386634844868735
2010Q3,44,1,419,0.002386634844868735
2010Q3,45,3,419,0.007159904534606206
2010Q3,46,4,419,0.00954653937947494
2010Q3,47,1,419,0.002386634844868735
2010Q3,48,5,419,0.011933174224343675
2010Q3,49,1,419,0.002386634844868735
2010Q3,50,1,419,0.002386634844868735
2010Q3,52,2,419,0.00477326968973747
2010Q3,53,1,419,0.002386634844868735
2010Q3,54,3,419,0.007159904534606206
2010Q4,0,28,405,0.0691358024691358
2010Q4,1,7,405,0.01728395061728395
2010Q4,2,25,405,0.06172839506172839
2010Q4,3,14,405,0.0345679012345679
2010Q4,4,12,405,0.02962962962962963
2010Q4,5,6,405,0.014814814814814815
2010Q4,6,7,405,0.01728395061728395
2010Q4,7,11,405,0.027160493827160494
2010Q4,8,1,405,0.0024691358024691358
2010Q4,9,12,405,0.02962962962962963
2010Q4,10,9,405,0.022222222222222223
2010Q4,11,7,405,0.01728395061728395
2010Q4,12,8,405,0.019753086419753086
2010Q4,13,5,405,0.012345679012345678
2010Q4,14,6,405,0.014814814814814815
2010Q4,15,8,405,0.019753086419753086
2010Q4,16,29,405,0.07160493827160494
2010Q4,17,11,405,0.027160493827160494
2010Q4,18,48,405,0.11851851851851852
2010Q4,19,2,405,0.0049382716049382715
2010Q4,20,4,405,0.009876543209876543
2010Q4,21,6,405,0.014814814814814815
2010Q4,22,7,405,0.01728395061728395
2010Q4,23,5,405,0.012345679012345678
2010Q4,24,6,405,0.014814814814814815
2010Q4,25,14,405,0.0345679012345679
2010Q4,26,10,405,0.024691358024691357
2010Q4,27,9,405,0.022222222222222223
2010Q4,28,4,405,0.009876543209876543
2010Q4,29,2,405,0.0049382716049382715
2010Q4,30,1,405,0.0024691358024691358
2010Q4,31,5,405,0.012345679012345678
2010Q4,32,4,405,0.009876543209876543
2010Q4,33,5,405,0.012345679012345678
2010Q4,34,5,405,0.012345679012345678
2010Q4,35,5,405,0.012345679012345678
2010Q4,36,3,405,0.007407407407407408
2010Q4,37,2,405,0.0049382716049382715
2010Q4,38,4,405,0.009876543209876543
2010Q4,39,3,405,0.007407407407407408
2010Q4,40,8,405,0.019753086419753086
2010Q4,41,1,405,0.0024691358024691358
2010Q4,42,13,405,0.03209876543209877
2010Q4,43,3,405,0.007407407407407408
2010Q4,44,3,405,0.007407407407407408
2010Q4,45,4,405,0.009876543209876543
2010Q4,46,6,405,0.014814814814814815
2010Q4,49,1,405,0.0024691358024691358
2010Q4,50,1,405,0.0024691358024691358
2010Q4,51,3,405,0.007407407407407408
2010Q4,54,2,405,0.0049382716049382715
2011Q1,0,39,409,0.09535452322738386
2011Q1,1,12,409,0.029339853300733496
2011Q1,2,18,409,0.044009779951100246
2011Q1,3,9,409,0.022004889975550123
2011Q1,4,4,409,0.009779951100244499
2011Q1,5,6,409,0.014669926650366748
2011Q1,6,11,409,0.02689486552567237
2011Q1,7,17,409,0.04156479217603912
2011Q1,8,10,409,0.02444987775061125
2011Q1,9,15,409,0.03667481662591687
2011Q1,10,12,409,0.029339853300733496
2011Q1,11,10,409,0.02444987775061125
2011Q1,12,13,409,0.03178484107579462
2011Q1,13,4,409,0.009779951100244499
