quarter,n_answers,n_questions,within_question_cosine,overall_cosine,within_question_cosine_lo,within_question_cosine_hi
2014Q4,373,154,0.49180794892044066,0.1693557457842569,0.4791343554676698,0.5051358731540508
2015Q1,353,176,0.5098589013005006,0.14440381976615344,0.4948469316505153,0.5239979070080535
2015Q2,465,235,0.49374891927181325,0.13936465968663664,0.48057785112737045,0.5070704747421716
2015Q3,383,192,0.49378631848323706,0.13235056288767652,0.48096593865274206,0.507008082263546
2015Q4,477,243,0.5169643378150788,0.14907543423373823,0.5052157187450173,0.5286743935478805
2016Q1,348,191,0.49395711454560487,0.14215874281032354,0.47723408007603657,0.5086408712730536
2016Q2,284,161,0.5075058533194042,0.13470656633298628,0.4916963077705945,0.5237477058534749
2016Q3,265,157,0.495199624442335,0.14463535975605787,0.4765419917172268,0.5126002946771213
2016Q4,313,183,0.5030774980993759,0.13846340150154762,0.4864569360381478,0.519008355612474
2017Q1,296,169,0.5046577825149492,0.14852828387631098,0.48900905926765686,0.5206112598400514
2017Q2,355,197,0.5027491282043233,0.13681520137308706,0.4888799631509349,0.516736045524881
2017Q3,338,190,0.50915576545543,0.13628286589597632,0.4947080433005475,0.5234659985675949
2017Q4,328,170,0.5052005857005749,0.13355512200997186,0.4896709364437033,0.5216545746090668
2018Q1,312,169,0.49835731719361004,0.15023753302820994,0.47972459187050653,0.5149934642066587
2018Q2,306,159,0.5124587876832598,0.14761206541949493,0.4976933231938712,0.5283248788276328
2018Q3,279,146,0.5147761466580069,0.15595580070100382,0.4989847806095586,0.5299197201599046
2018Q4,311,189,0.5008108408565451,0.15424443341938182,0.4850645467760276,0.517041574102335
2019Q1,239,146,0.5311592008471513,0.12550071577072433,0.5129375292401039,0.5511181479788526
2019Q2,286,166,0.521624928568756,0.14941967930776806,0.505950661111741,0.5375180945287791
2019Q3,238,142,0.49620523978592174,0.15230734489032854,0.47868347772257586,0.5154218035898709
2019Q4,257,151,0.49882539397864833,0.13652438306986145,0.4786924700186878,0.5193299956824109
2020Q1,277,150,0.4874760098616982,0.12876604213983328,0.46814970134336287,0.5062987944939822
2020Q2,345,184,0.518519917893528,0.13270796365578044,0.5027199454275143,0.5333830476933542
2020Q3,348,182,0.5151876432088127,0.1432119206311296,0.5009084809630326,0.5301136441261975
2020Q4,359,184,0.4953010042061863,0.14989995046183158,0.4798541934123439,0.5092586364186537
2021Q1,260,133,0.5039470469526728,0.14383165874440798,0.4856621293696624,0.5229606121727616
2021Q2,202,119,0.5046602583163344,0.12683682875273464,0.4811582903357535,0.5265188302190319
2021Q3,217,117,0.523552313130355,0.13204488485861013,0.5029114528205169,0.5444841138816782
2021Q4,168,96,0.5196342771719299,0.13155613760386975,0.4955787369632298,0.5452547203788842
2022Q1,192,99,0.4886962983435416,0.13418561685442282,0.4649837003618592,0.5123866377753582
2022Q2,158,89,0.5483868742848761,0.13839833733163207,0.5256571262103541,0.5709056881638765
2022Q3,164,94,0.5254522691692861,0.13622198630986757,0.5020067861046572,0.5490045348386364
2022Q4,226,124,0.5354421296617561,0.1394602805971411,0.5138542305012417,0.5548995119722351
2023Q1,181,98,0.5207849722473499,0.15163486172446208,0.4977322575585552,0.5435733512676328
2023Q2,169,93,0.5060523564339752,0.14477544910885176,0.4839845040526521,0.5292110100293285
2023Q3,165,113,0.5009735207597261,0.15271439909549064,0.47388312751947254,0.5277589899125641
2023Q4,124,77,0.48894154605616574,0.12731163584785923,0.46014520281218824,0.5175312585120143
2024Q1,121,74,0.4879750966597057,0.14177950585034677,0.45949024642952935,0.5160137858767442
2024Q2,159,97,0.5174894865859464,0.12970123310389897,0.491856039877784,0.5409311228243517
2024Q3,94,61,0.5140843992333375,0.16727993017061815,0.481478733417311,0.5473569043147442
2024Q4,102,55,0.5360998670716288,0.16810627334264427,0.5104466469163649,0.5619841224666675
2025Q1,85,50,0.5434698887021939,0.14417315740671144,0.512698872269699,0.5755828173063923
2025Q2,85,49,0.5014092603769177,0.13837694395265762,0.4697991652711138,0.5324523176904395
2025Q3,56,31,0.5381753806754862,0.1641605301899297,0.5033236445035142,0.5708996187926668
