topic,size,pre_share,post_share,delta,top_words
14,264,0.023747548731135038,0.057448035628444354,0.03370048689730931,14_allocations_coalition_endowments_edgeworth
19,218,0.022854727007668607,0.04765150726209478,0.024796780254426172,19_tariffs_tariff_wto_protectionism
5,506,0.04875083231861827,0.07123720726737974,0.02248637494876147,5_lagrange_mrs_convexity_indifference
12,307,0.029379664124991874,0.048877110178434005,0.01949744605344213,12_poverty_progressive_laffer_taxed
11,323,0.03217432746803111,0.04720549269371719,0.01503116522568608,11_integration_integrating_constants_integrals
8,364,0.03792799686141676,0.051230209196791596,0.013302212335374833,8_velocity_fed_deflation_inflationary
17,231,0.022866863145549636,0.03606567435440952,0.013198811208859886,17_rental_homes_apartments_landlord
9,345,0.03398314870534008,0.046821259857201404,0.012838111151861321,9_mc_plant_diminishing_averaging
15,256,0.02600283011845935,0.038797739013297305,0.012794908894837954,15_monotonic_monotonicity_monotone_transitive
13,273,0.029059150973242142,0.04121657866061433,0.012157427687372189,13_automation_skilled_ai_unskilled
18,228,0.023785408930021765,0.032503840908453374,0.008718431978431609,18_lottery_aversion_lotteries_gamble
16,245,0.025184488863047326,0.033202245724501804,0.008017756861454478,16_dashed_demandsupply_supplydemand_endogeneity
3,898,0.09495598454340946,0.0998125966585435,0.0048566121151340375,3_nash_equilibria_ne_payoffs
7,372,0.040645926054552556,0.04171450124436821,0.0010685751898156515,7_discrimination_monopolistic_monopolies_amazon
20,177,0.020499068652587295,0.021262134191484323,0.000763065538897028,20_deficit_debttogdp_japan_sustainability
6,438,0.04966213716132452,0.04565319182802679,-0.0040089453332977296,6_tables_abroad_bea_database
10,340,0.037764860328747304,0.03173733603833344,-0.006027524290413866,10_dividend_shareholders_companys_ipo
0,1187,0.127540412425799,0.11651843802256899,-0.011021974403230009,0_marx_dsge_mainstream_journals
2,950,0.10346316869100498,0.09200888978831097,-0.011454278902694015,2_estimator_ols_null_dummy
4,541,0.06192493312872556,0.03638651909956997,-0.02553841402915559,4_coins_fiat_bitcoin_reserves
1,1022,0.11171774001127027,0.082325967309197,-0.02939177270207327,1_reserves_fed_deposits_deposit
