quarter,topic,count,total,share
2014Q4,0,73,245,0.2979591836734694
2014Q4,1,15,245,0.061224489795918366
2014Q4,2,16,245,0.0653061224489796
2014Q4,3,22,245,0.08979591836734693
2014Q4,4,13,245,0.053061224489795916
2014Q4,5,2,245,0.00816326530612245
2014Q4,6,8,245,0.0326530612244898
2014Q4,7,12,245,0.04897959183673469
2014Q4,8,14,245,0.05714285714285714
2014Q4,9,5,245,0.02040816326530612
2014Q4,10,9,245,0.036734693877551024
2014Q4,11,3,245,0.012244897959183673
2014Q4,12,9,245,0.036734693877551024
2014Q4,13,6,245,0.024489795918367346
2014Q4,14,5,245,0.02040816326530612
2014Q4,16,9,245,0.036734693877551024
2014Q4,17,2,245,0.00816326530612245
2014Q4,18,13,245,0.053061224489795916
2014Q4,19,4,245,0.0163265306122449
2014Q4,20,5,245,0.02040816326530612
2015Q1,0,48,251,0.19123505976095617
2015Q1,1,16,251,0.06374501992031872
2015Q1,2,26,251,0.10358565737051793
2015Q1,3,23,251,0.09163346613545817
2015Q1,4,11,251,0.043824701195219126
2015Q1,5,16,251,0.06374501992031872
2015Q1,6,9,251,0.035856573705179286
2015Q1,7,7,251,0.027888446215139442
2015Q1,8,3,251,0.01195219123505976
2015Q1,9,9,251,0.035856573705179286
2015Q1,10,7,251,0.027888446215139442
2015Q1,11,10,251,0.0398406374501992
2015Q1,12,9,251,0.035856573705179286
2015Q1,13,6,251,0.02390438247011952
2015Q1,14,3,251,0.01195219123505976
2015Q1,15,7,251,0.027888446215139442
2015Q1,16,13,251,0.05179282868525897
2015Q1,17,6,251,0.02390438247011952
2015Q1,18,7,251,0.027888446215139442
2015Q1,19,4,251,0.01593625498007968
2015Q1,20,11,251,0.043824701195219126
2015Q2,0,38,305,0.12459016393442623
2015Q2,1,42,305,0.1377049180327869
2015Q2,2,25,305,0.08196721311475409
2015Q2,3,34,305,0.11147540983606558
2015Q2,4,14,305,0.04590163934426229
2015Q2,5,17,305,0.05573770491803279
2015Q2,6,14,305,0.04590163934426229
2015Q2,7,15,305,0.04918032786885246
2015Q2,8,9,305,0.029508196721311476
2015Q2,9,12,305,0.03934426229508197
2015Q2,10,6,305,0.019672131147540985
2015Q2,11,6,305,0.019672131147540985
2015Q2,12,13,305,0.04262295081967213
2015Q2,13,6,305,0.019672131147540985
2015Q2,14,7,305,0.022950819672131147
2015Q2,15,11,305,0.036065573770491806
2015Q2,16,6,305,0.019672131147540985
2015Q2,17,7,305,0.022950819672131147
2015Q2,18,15,305,0.04918032786885246
2015Q2,19,3,305,0.009836065573770493
2015Q2,20,5,305,0.01639344262295082
2015Q3,0,42,277,0.15162454873646208
2015Q3,1,37,277,0.13357400722021662
2015Q3,2,21,277,0.07581227436823104
2015Q3,3,19,277,0.06859205776173286
2015Q3,4,20,277,0.07220216606498195
2015Q3,5,9,277,0.032490974729241874
2015Q3,6,15,277,0.05415162454873646
2015Q3,7,13,277,0.04693140794223827
2015Q3,8,14,277,0.05054151624548736
2015Q3,9,4,277,0.01444043321299639
2015Q3,10,17,277,0.061371841155234655
2015Q3,11,6,277,0.021660649819494584
2015Q3,12,2,277,0.007220216606498195
2015Q3,13,10,277,0.036101083032490974
2015Q3,14,5,277,0.018050541516245487
2015Q3,15,11,277,0.039711191335740074
2015Q3,16,5,277,0.018050541516245487
2015Q3,17,12,277,0.04332129963898917
2015Q3,18,5,277,0.018050541516245487
2015Q3,19,1,277,0.0036101083032490976
2015Q3,20,9,277,0.032490974729241874
2015Q4,0,52,335,0.15522388059701492
2015Q4,1,50,335,0.14925373134328357
2015Q4,2,16,335,0.04776119402985075
2015Q4,3,13,335,0.03880597014925373
2015Q4,4,19,335,0.056716417910447764
2015Q4,5,14,335,0.041791044776119404
2015Q4,6,6,335,0.01791044776119403
2015Q4,7,19,335,0.056716417910447764
2015Q4,8,21,335,0.0626865671641791
2015Q4,9,22,335,0.06567164179104477
2015Q4,10,11,335,0.03283582089552239
2015Q4,11,8,335,0.023880597014925373
2015Q4,12,19,335,0.056716417910447764
2015Q4,13,14,335,0.041791044776119404
2015Q4,14,10,335,0.029850746268656716
2015Q4,15,9,335,0.026865671641791045
2015Q4,16,6,335,0.01791044776119403
2015Q4,17,5,335,0.014925373134328358
2015Q4,18,11,335,0.03283582089552239
2015Q4,19,7,335,0.020895522388059702
2015Q4,20,3,335,0.008955223880597015
2016Q1,0,42,258,0.16279069767441862
2016Q1,1,29,258,0.1124031007751938
2016Q1,2,21,258,0.08139534883720931
2016Q1,3,15,258,0.05813953488372093
2016Q1,4,15,258,0.05813953488372093
2016Q1,5,11,258,0.04263565891472868
2016Q1,6,13,258,0.050387596899224806
2016Q1,7,15,258,0.05813953488372093
2016Q1,8,9,258,0.03488372093023256
2016Q1,9,11,258,0.04263565891472868
2016Q1,10,12,258,0.046511627906976744
2016Q1,11,8,258,0.031007751937984496
2016Q1,12,8,258,0.031007751937984496
2016Q1,13,15,258,0.05813953488372093
2016Q1,14,5,258,0.01937984496124031
2016Q1,15,4,258,0.015503875968992248
2016Q1,16,7,258,0.027131782945736434
2016Q1,17,8,258,0.031007751937984496
2016Q1,18,3,258,0.011627906976744186
2016Q1,19,2,258,0.007751937984496124
2016Q1,20,5,258,0.01937984496124031
2016Q2,0,33,211,0.15639810426540285
2016Q2,1,27,211,0.12796208530805686
2016Q2,2,16,211,0.07582938388625593
2016Q2,3,10,211,0.04739336492890995
2016Q2,4,10,211,0.04739336492890995
2016Q2,5,12,211,0.05687203791469194
2016Q2,6,14,211,0.06635071090047394
2016Q2,7,7,211,0.03317535545023697
2016Q2,8,3,211,0.014218009478672985
2016Q2,9,5,211,0.023696682464454975
2016Q2,10,12,211,0.05687203791469194
2016Q2,11,2,211,0.009478672985781991
2016Q2,12,8,211,0.037914691943127965
2016Q2,13,8,211,0.037914691943127965
2016Q2,14,11,211,0.052132701421800945
2016Q2,15,2,211,0.009478672985781991
2016Q2,16,5,211,0.023696682464454975
2016Q2,17,3,211,0.014218009478672985
2016Q2,18,9,211,0.04265402843601896
2016Q2,19,7,211,0.03317535545023697
2016Q2,20,7,211,0.03317535545023697
2016Q3,0,29,192,0.15104166666666666
2016Q3,1,16,192,0.08333333333333333
2016Q3,2,20,192,0.10416666666666667
2016Q3,3,6,192,0.03125
2016Q3,4,17,192,0.08854166666666667
2016Q3,5,10,192,0.052083333333333336
2016Q3,6,16,192,0.08333333333333333
2016Q3,7,10,192,0.052083333333333336
2016Q3,8,7,192,0.036458333333333336
2016Q3,9,5,192,0.026041666666666668
2016Q3,10,11,192,0.057291666666666664
2016Q3,11,11,192,0.057291666666666664
2016Q3,12,6,192,0.03125
2016Q3,13,9,192,0.046875
2016Q3,15,1,192,0.005208333333333333
2016Q3,16,5,192,0.026041666666666668
2016Q3,17,1,192,0.005208333333333333
2016Q3,18,1,192,0.005208333333333333
2016Q3,19,7,192,0.036458333333333336
2016Q3,20,4,192,0.020833333333333332
2016Q4,0,20,246,0.08130081300813008
2016Q4,1,22,246,0.08943089430894309
2016Q4,2,29,246,0.11788617886178862
2016Q4,3,23,246,0.09349593495934959
2016Q4,4,11,246,0.044715447154471545
2016Q4,5,16,246,0.06504065040650407
2016Q4,6,19,246,0.07723577235772358
2016Q4,7,6,246,0.024390243902439025
2016Q4,8,16,246,0.06504065040650407
2016Q4,9,5,246,0.02032520325203252
2016Q4,10,5,246,0.02032520325203252
2016Q4,11,16,246,0.06504065040650407
2016Q4,12,13,246,0.052845528455284556
2016Q4,13,7,246,0.028455284552845527
2016Q4,14,4,246,0.016260162601626018
2016Q4,15,3,246,0.012195121951219513
2016Q4,16,11,246,0.044715447154471545
2016Q4,17,5,246,0.02032520325203252
2016Q4,18,6,246,0.024390243902439025
2016Q4,19,3,246,0.012195121951219513
2016Q4,20,6,246,0.024390243902439025
2017Q1,0,21,248,0.0846774193548387
2017Q1,1,26,248,0.10483870967741936
2017Q1,2,12,248,0.04838709677419355
2017Q1,3,23,248,0.09274193548387097
2017Q1,4,14,248,0.056451612903225805
2017Q1,5,13,248,0.05241935483870968
2017Q1,6,12,248,0.04838709677419355
2017Q1,7,17,248,0.06854838709677419
2017Q1,8,7,248,0.028225806451612902
2017Q1,9,12,248,0.04838709677419355
2017Q1,10,6,248,0.024193548387096774
2017Q1,11,6,248,0.024193548387096774
2017Q1,12,4,248,0.016129032258064516
2017Q1,13,14,248,0.056451612903225805
2017Q1,14,14,248,0.056451612903225805
2017Q1,15,8,248,0.03225806451612903
2017Q1,16,3,248,0.012096774193548387
2017Q1,17,6,248,0.024193548387096774
2017Q1,18,13,248,0.05241935483870968
2017Q1,19,13,248,0.05241935483870968
2017Q1,20,4,248,0.016129032258064516
2017Q2,0,27,260,0.10384615384615385
2017Q2,1,29,260,0.11153846153846154
2017Q2,2,22,260,0.08461538461538462
2017Q2,3,22,260,0.08461538461538462
2017Q2,4,29,260,0.11153846153846154
2017Q2,5,18,260,0.06923076923076923
2017Q2,6,11,260,0.04230769230769231
2017Q2,7,15,260,0.057692307692307696
2017Q2,8,9,260,0.03461538461538462
2017Q2,9,5,260,0.019230769230769232
2017Q2,10,10,260,0.038461538461538464
2017Q2,11,4,260,0.015384615384615385
2017Q2,12,10,260,0.038461538461538464
2017Q2,13,6,260,0.023076923076923078
2017Q2,14,7,260,0.026923076923076925
2017Q2,15,6,260,0.023076923076923078
2017Q2,16,9,260,0.03461538461538462
2017Q2,17,6,260,0.023076923076923078
2017Q2,18,5,260,0.019230769230769232
2017Q2,19,3,260,0.011538461538461539
2017Q2,20,7,260,0.026923076923076925
2017Q3,0,46,251,0.18326693227091634
2017Q3,1,24,251,0.09561752988047809
2017Q3,2,18,251,0.07171314741035857
2017Q3,3,11,251,0.043824701195219126
2017Q3,4,19,251,0.07569721115537849
2017Q3,5,6,251,0.02390438247011952
2017Q3,6,21,251,0.08366533864541832
2017Q3,7,12,251,0.04780876494023904
2017Q3,8,9,251,0.035856573705179286
2017Q3,9,7,251,0.027888446215139442
2017Q3,10,11,251,0.043824701195219126
2017Q3,11,7,251,0.027888446215139442
2017Q3,12,12,251,0.04780876494023904
2017Q3,13,14,251,0.055776892430278883
2017Q3,14,1,251,0.00398406374501992
2017Q3,15,8,251,0.03187250996015936
2017Q3,16,4,251,0.01593625498007968
2017Q3,17,8,251,0.03187250996015936
2017Q3,18,2,251,0.00796812749003984
2017Q3,19,6,251,0.02390438247011952
2017Q3,20,5,251,0.0199203187250996
2017Q4,0,52,239,0.2175732217573222
2017Q4,1,24,239,0.100418410041841
2017Q4,2,19,239,0.0794979079497908
2017Q4,3,21,239,0.08786610878661087
2017Q4,4,16,239,0.06694560669456066
2017Q4,5,11,239,0.04602510460251046
2017Q4,6,13,239,0.05439330543933055
2017Q4,7,9,239,0.03765690376569038
2017Q4,8,7,239,0.029288702928870293
2017Q4,9,9,239,0.03765690376569038
2017Q4,10,8,239,0.03347280334728033
2017Q4,11,9,239,0.03765690376569038
2017Q4,12,9,239,0.03765690376569038
2017Q4,13,2,239,0.008368200836820083
2017Q4,14,5,239,0.02092050209205021
2017Q4,15,2,239,0.008368200836820083
2017Q4,16,9,239,0.03765690376569038
2017Q4,17,7,239,0.029288702928870293
2017Q4,18,3,239,0.012552301255230125
2017Q4,19,1,239,0.0041841004184100415
2017Q4,20,3,239,0.012552301255230125
2018Q1,0,32,246,0.13008130081300814
2018Q1,1,26,246,0.10569105691056911
2018Q1,2,19,246,0.07723577235772358
2018Q1,3,24,246,0.0975609756097561
2018Q1,4,16,246,0.06504065040650407
2018Q1,5,4,246,0.016260162601626018
2018Q1,6,16,246,0.06504065040650407
2018Q1,7,14,246,0.056910569105691054
2018Q1,8,6,246,0.024390243902439025
2018Q1,9,5,246,0.02032520325203252
2018Q1,10,12,246,0.04878048780487805
2018Q1,11,11,246,0.044715447154471545
2018Q1,12,5,246,0.02032520325203252
2018Q1,13,3,246,0.012195121951219513
2018Q1,14,6,246,0.024390243902439025
2018Q1,15,5,246,0.02032520325203252
2018Q1,16,7,246,0.028455284552845527
2018Q1,17,5,246,0.02032520325203252
2018Q1,18,7,246,0.028455284552845527
2018Q1,19,15,246,0.06097560975609756
2018Q1,20,8,246,0.032520325203252036
2018Q2,0,42,301,0.13953488372093023
2018Q2,1,26,301,0.08637873754152824
2018Q2,2,27,301,0.08970099667774087
2018Q2,3,33,301,0.10963455149501661
2018Q2,4,17,301,0.05647840531561462
2018Q2,5,18,301,0.059800664451827246
2018Q2,6,19,301,0.06312292358803986
2018Q2,7,10,301,0.03322259136212625
2018Q2,8,9,301,0.029900332225913623
2018Q2,9,18,301,0.059800664451827246
2018Q2,10,4,301,0.013289036544850499
2018Q2,11,4,301,0.013289036544850499
2018Q2,12,6,301,0.019933554817275746
2018Q2,13,22,301,0.07308970099667775
2018Q2,14,4,301,0.013289036544850499
2018Q2,15,2,301,0.006644518272425249
2018Q2,16,6,301,0.019933554817275746
2018Q2,17,5,301,0.016611295681063124
2018Q2,18,13,301,0.04318936877076412
2018Q2,19,10,301,0.03322259136212625
2018Q2,20,6,301,0.019933554817275746
2018Q3,0,31,215,0.14418604651162792
2018Q3,1,15,215,0.06976744186046512
2018Q3,2,17,215,0.07906976744186046
2018Q3,3,16,215,0.07441860465116279
2018Q3,4,11,215,0.05116279069767442
2018Q3,5,11,215,0.05116279069767442
2018Q3,6,6,215,0.027906976744186046
2018Q3,7,17,215,0.07906976744186046
2018Q3,8,9,215,0.04186046511627907
2018Q3,9,8,215,0.037209302325581395
2018Q3,10,4,215,0.018604651162790697
2018Q3,11,11,215,0.05116279069767442
2018Q3,12,5,215,0.023255813953488372
2018Q3,13,11,215,0.05116279069767442
2018Q3,14,2,215,0.009302325581395349
2018Q3,15,8,215,0.037209302325581395
2018Q3,16,1,215,0.004651162790697674
2018Q3,17,7,215,0.03255813953488372
2018Q3,18,5,215,0.023255813953488372
2018Q3,19,15,215,0.06976744186046512
2018Q3,20,5,215,0.023255813953488372
2018Q4,0,30,259,0.11583011583011583
2018Q4,1,30,259,0.11583011583011583
2018Q4,2,11,259,0.04247104247104247
2018Q4,3,16,259,0.06177606177606178
2018Q4,4,23,259,0.0888030888030888
2018Q4,5,19,259,0.07335907335907337
2018Q4,6,11,259,0.04247104247104247
2018Q4,7,7,259,0.02702702702702703
2018Q4,8,8,259,0.03088803088803089
2018Q4,9,15,259,0.05791505791505792
2018Q4,10,7,259,0.02702702702702703
2018Q4,11,8,259,0.03088803088803089
2018Q4,12,8,259,0.03088803088803089
2018Q4,13,5,259,0.019305019305019305
2018Q4,14,8,259,0.03088803088803089
2018Q4,15,11,259,0.04247104247104247
2018Q4,16,4,259,0.015444015444015444
2018Q4,17,12,259,0.04633204633204633
2018Q4,18,6,259,0.023166023166023165
2018Q4,19,15,259,0.05791505791505792
2018Q4,20,5,259,0.019305019305019305
2019Q1,0,15,216,0.06944444444444445
2019Q1,1,14,216,0.06481481481481481
2019Q1,2,15,216,0.06944444444444445
2019Q1,3,38,216,0.17592592592592593
2019Q1,4,17,216,0.0787037037037037
2019Q1,5,11,216,0.05092592592592592
2019Q1,6,15,216,0.06944444444444445
2019Q1,7,11,216,0.05092592592592592
2019Q1,8,4,216,0.018518518518518517
2019Q1,9,4,216,0.018518518518518517
2019Q1,10,8,216,0.037037037037037035
2019Q1,11,11,216,0.05092592592592592
2019Q1,12,7,216,0.032407407407407406
2019Q1,13,3,216,0.013888888888888888
2019Q1,14,8,216,0.037037037037037035
2019Q1,15,8,216,0.037037037037037035
