quarter,topic,count,total,share
2011Q2,0,4,151,0.026490066225165563
2011Q2,2,7,151,0.046357615894039736
2011Q2,3,11,151,0.0728476821192053
2011Q2,4,7,151,0.046357615894039736
2011Q2,5,19,151,0.12582781456953643
2011Q2,6,7,151,0.046357615894039736
2011Q2,7,2,151,0.013245033112582781
2011Q2,8,4,151,0.026490066225165563
2011Q2,9,1,151,0.006622516556291391
2011Q2,10,2,151,0.013245033112582781
2011Q2,11,3,151,0.019867549668874173
2011Q2,12,3,151,0.019867549668874173
2011Q2,13,5,151,0.033112582781456956
2011Q2,15,2,151,0.013245033112582781
2011Q2,16,3,151,0.019867549668874173
2011Q2,17,5,151,0.033112582781456956
2011Q2,18,7,151,0.046357615894039736
2011Q2,19,1,151,0.006622516556291391
2011Q2,20,6,151,0.039735099337748346
2011Q2,21,1,151,0.006622516556291391
2011Q2,22,1,151,0.006622516556291391
2011Q2,23,2,151,0.013245033112582781
2011Q2,25,4,151,0.026490066225165563
2011Q2,28,4,151,0.026490066225165563
2011Q2,29,3,151,0.019867549668874173
2011Q2,30,2,151,0.013245033112582781
2011Q2,33,7,151,0.046357615894039736
2011Q2,35,2,151,0.013245033112582781
2011Q2,36,3,151,0.019867549668874173
2011Q2,38,7,151,0.046357615894039736
2011Q2,39,5,151,0.033112582781456956
2011Q2,41,3,151,0.019867549668874173
2011Q2,42,3,151,0.019867549668874173
2011Q2,43,5,151,0.033112582781456956
2011Q3,0,5,169,0.029585798816568046
2011Q3,2,9,169,0.05325443786982249
2011Q3,3,6,169,0.03550295857988166
2011Q3,4,4,169,0.023668639053254437
2011Q3,5,13,169,0.07692307692307693
2011Q3,6,1,169,0.005917159763313609
2011Q3,7,16,169,0.09467455621301775
2011Q3,8,5,169,0.029585798816568046
2011Q3,9,7,169,0.04142011834319527
2011Q3,10,4,169,0.023668639053254437
2011Q3,11,2,169,0.011834319526627219
2011Q3,12,3,169,0.01775147928994083
2011Q3,13,1,169,0.005917159763313609
2011Q3,14,3,169,0.01775147928994083
2011Q3,16,1,169,0.005917159763313609
2011Q3,17,2,169,0.011834319526627219
2011Q3,18,5,169,0.029585798816568046
2011Q3,19,4,169,0.023668639053254437
2011Q3,20,3,169,0.01775147928994083
2011Q3,21,5,169,0.029585798816568046
2011Q3,22,4,169,0.023668639053254437
2011Q3,23,2,169,0.011834319526627219
2011Q3,25,4,169,0.023668639053254437
2011Q3,26,4,169,0.023668639053254437
2011Q3,27,4,169,0.023668639053254437
2011Q3,28,2,169,0.011834319526627219
2011Q3,29,2,169,0.011834319526627219
2011Q3,30,2,169,0.011834319526627219
2011Q3,31,8,169,0.047337278106508875
2011Q3,32,3,169,0.01775147928994083
2011Q3,33,12,169,0.07100591715976332
2011Q3,34,2,169,0.011834319526627219
2011Q3,36,7,169,0.04142011834319527
2011Q3,37,1,169,0.005917159763313609
2011Q3,39,1,169,0.005917159763313609
2011Q3,40,1,169,0.005917159763313609
2011Q3,41,2,169,0.011834319526627219
2011Q3,42,1,169,0.005917159763313609
2011Q3,43,5,169,0.029585798816568046
2011Q3,44,2,169,0.011834319526627219
2011Q3,45,1,169,0.005917159763313609
2011Q4,0,2,125,0.016
2011Q4,1,5,125,0.04
2011Q4,2,14,125,0.112
2011Q4,3,7,125,0.056
2011Q4,4,2,125,0.016
2011Q4,5,6,125,0.048
2011Q4,6,1,125,0.008
2011Q4,7,6,125,0.048
2011Q4,8,1,125,0.008
2011Q4,9,2,125,0.016
2011Q4,10,4,125,0.032
2011Q4,11,3,125,0.024
2011Q4,12,5,125,0.04
2011Q4,13,5,125,0.04
2011Q4,14,3,125,0.024
2011Q4,16,5,125,0.04
2011Q4,17,6,125,0.048
2011Q4,18,2,125,0.016
2011Q4,19,3,125,0.024
2011Q4,20,1,125,0.008
2011Q4,21,3,125,0.024
2011Q4,22,3,125,0.024
2011Q4,23,4,125,0.032
2011Q4,25,3,125,0.024
2011Q4,26,1,125,0.008
2011Q4,27,1,125,0.008
2011Q4,28,1,125,0.008
2011Q4,29,9,125,0.072
2011Q4,30,1,125,0.008
2011Q4,31,1,125,0.008
2011Q4,32,2,125,0.016
2011Q4,33,5,125,0.04
2011Q4,34,2,125,0.016
2011Q4,36,1,125,0.008
2011Q4,37,1,125,0.008
2011Q4,39,2,125,0.016
2011Q4,45,2,125,0.016
2012Q1,0,4,116,0.034482758620689655
2012Q1,1,3,116,0.02586206896551724
2012Q1,2,10,116,0.08620689655172414
2012Q1,3,8,116,0.06896551724137931
2012Q1,4,1,116,0.008620689655172414
2012Q1,5,5,116,0.04310344827586207
2012Q1,6,6,116,0.05172413793103448
2012Q1,7,1,116,0.008620689655172414
2012Q1,8,1,116,0.008620689655172414
2012Q1,9,5,116,0.04310344827586207
2012Q1,10,1,116,0.008620689655172414
2012Q1,11,1,116,0.008620689655172414
2012Q1,12,8,116,0.06896551724137931
2012Q1,14,14,116,0.1206896551724138
2012Q1,17,1,116,0.008620689655172414
2012Q1,18,6,116,0.05172413793103448
2012Q1,20,3,116,0.02586206896551724
2012Q1,22,1,116,0.008620689655172414
2012Q1,24,1,116,0.008620689655172414
2012Q1,25,2,116,0.017241379310344827
2012Q1,27,3,116,0.02586206896551724
2012Q1,28,1,116,0.008620689655172414
2012Q1,29,1,116,0.008620689655172414
2012Q1,30,6,116,0.05172413793103448
2012Q1,31,1,116,0.008620689655172414
2012Q1,33,11,116,0.09482758620689655
2012Q1,34,1,116,0.008620689655172414
2012Q1,35,1,116,0.008620689655172414
2012Q1,36,1,116,0.008620689655172414
2012Q1,37,3,116,0.02586206896551724
2012Q1,38,1,116,0.008620689655172414
2012Q1,40,1,116,0.008620689655172414
2012Q1,41,1,116,0.008620689655172414
