quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2011Q2,high,184,149,4,102,0.12938238197464114,0.8658860005360907,57.72483326587255,0.13998601671937574,0.8542420773525664,54.974235048018436,0.11895170835264277,0.13959188294057182,0.12898169683514188,0.1521838705755981
2011Q2,low,185,129,-5,4,0.10909559972779337,0.8860887008112758,57.61509720262428,0.11614944493200921,0.8769990003775412,51.32502489823332,0.10045138074271255,0.11952400811371856,0.10499402801904953,0.12770261067406397
2011Q3,high,216,184,3,60,0.1347573019441214,0.8612369448241384,61.93394343301246,0.1501159774239319,0.8452650876707634,59.43662130726266,0.12583750629904447,0.14492581936252288,0.13883133785738236,0.16042859330418113
2011Q3,low,216,153,-4,3,0.11834179597300588,0.8775764530824247,61.44358463471614,0.1398699802178906,0.8545082549469323,55.29851869507617,0.1086330071900591,0.1288294465943326,0.12780767684203348,0.15199461036529097
2011Q4,high,182,147,3,45,0.1161667727830783,0.8789770006937518,57.53175087785606,0.12648380317843183,0.8675739097683602,54.82727727499291,0.10589449460176217,0.12651142539523322,0.11496782231555631,0.13739917294349197
2011Q4,low,183,127,-2,3,0.10787251182528948,0.8872524745781274,58.85957429799226,0.11884840647076446,0.8742133920053833,49.89115556756395,0.09762902775331705,0.11925235509999277,0.10588647466785751,0.13187101182968655
2012Q1,high,135,115,4,56,0.12086453626289265,0.8726233491909066,48.99903553587361,0.135971004948574,0.8565156994422831,47.276023021395666,0.11003246582476948,0.1319206661375947,0.12291801483153895,0.14980029438077025
2012Q1,low,136,101,-4,4,0.10845241802070563,0.884992085052976,52.07008797679361,0.12060100608624713,0.8706920731819335,46.76939103682022,0.09704565276062964,0.1199950705139093,0.10616248258557813,0.1366843270395572
2012Q2,high,191,157,3,87,0.1211381909355641,0.8742604383363498,62.50066333197858,0.13718811732497602,0.857316265587922,57.12251642244051,0.11121474167909631,0.13083918449221607,0.12624772984015645,0.14908184823829349
2012Q2,low,192,142,-5,3,0.11344298432537162,0.8819395312179897,65.73398126799023,0.13307261969795744,0.8608222579055493,56.94845370695006,0.10221358674921988,0.12392332067451424,0.12120938927035703,0.14605768371584354
2012Q3,high,188,139,2,41,0.13033577297695323,0.8650383534750519,60.55443699460366,0.14512570907201158,0.8487241161731108,56.21879826726469,0.12008198377142691,0.14124276436165606,0.1331482854684846,0.15682660256137337
2012Q3,low,189,125,-3,2,0.11360928274558002,0.8817008192795288,64.31058758266862,0.131320461394111,0.8617301022970418,53.23224786897819,0.10384853983892127,0.12304588689308378,0.11926017098406334,0.14415602358393056
2012Q4,high,205,167,3,54,0.10770098678270083,0.8879463351040441,62.88933743324941,0.1196003730630025,0.8751277728834825,60.23909378498892,0.09848022133347059,0.11703439523275838,0.10889543291892946,0.13085420112386958
2012Q4,low,205,150,-3,2,0.11520472726649847,0.8804791982323625,63.10958480811928,0.13361276396618685,0.8606113211269211,55.94858865907977,0.10560611967945115,0.12452487429443562,0.12338649809956398,0.14469117662861386
2013Q1,high,218,175,2,22,0.11769406144539388,0.8782586636071079,63.65541067865671,0.13702807856856636,0.8580406533089683,57.01645448030927,0.10813593558546128,0.12717156655793865,0.12593459627449502,0.14875528113786737
2013Q1,low,219,170,-6,2,0.1247257393248076,0.8712775745533878,62.37246182248105,0.13666080812607156,0.858260726039376,57.259635160250866,0.11469987711662195,0.13474554648205722,0.12427791330763072,0.1485345713881017
2013Q2,high,257,208,2,26,0.11115182761622994,0.8853896191838332,69.90086776608263,0.12838389260257604,0.8674256453426287,64.12548567093621,0.10324179414634801,0.11918204621003084,0.11867567063125155,0.13821741959574776
2013Q2,low,258,179,-5,2,0.11739614266522946,0.8791829121513024,67.70824742076718,0.13093744637843988,0.8642074555566353,60.69149862819556,0.1087436160222717,0.1261971603791701,0.12052728577770049,0.14155365363753114
2013Q3,high,232,188,2,20,0.11748277227913337,0.8787132741531043,66.36745840588719,0.13230360217741108,0.8630809914511922,64.12143327602814,0.10901433097154581,0.12612104310776248,0.12221857336351635,0.1427617781490276
2013Q3,low,233,165,-5,2,0.1117979402047057,0.8843900337875892,67.03307219829641,0.1202446675625172,0.8744234819378617,59.52810177950584,0.10259384390501856,0.12116046232358564,0.10896060357937036,0.13193622098659674
2013Q4,high,259,221,2,31,0.11652625747100233,0.8800626469979976,65.62723511120294,0.1350942372338837,0.860992162029618,60.93893049324359,0.10674414880623956,0.12640386367798806,0.12490539723018124,0.14493744490271307
2013Q4,low,260,188,-4,2,0.12495516011285138,0.8716792828106597,69.6586906814608,0.14676926778901617,0.848692270869436,62.87275780114718,0.1151300282479653,0.1344363849874323,0.13477597626642565,0.15812316081584632
2014Q1,high,366,292,2,29,0.1122857763756218,0.8852887749259509,73.97846959279177,0.13032983168985354,0.8666918458159336,71.10339399220537,0.10546247132053332,0.12002005050439382,0.12146829597298502,0.1390398473780216
2014Q1,low,367,257,-3,2,0.11255642906003449,0.8850254685668321,75.80921370140662,0.13209621947057962,0.8645267230176328,69.71137463533219,0.10595475290894751,0.12025333084049905,0.12272408248860875,0.14090451099264403
2014Q2,high,400,327,2,259,0.10254946658336675,0.8952069070830917,79.8806863191713,0.11658926104206004,0.8807091770651022,77.37739232788563,0.09664312775491424,0.10914785811966118,0.10978317883781244,0.12378723913105015
2014Q2,low,400,295,-5,2,0.10806866751797053,0.8897015041508244,77.01768022070351,0.12207359436092581,0.8749503839250434,70.44945621141653,0.10095311821576458,0.11557284751252798,0.11343348356981336,0.1310409324494638
