quarter,volume,n_sample,n_lc,mean_len,mean_mtld,mean_ttr,mean_pairwise_cosine,lc_mtld,lc_ttr,lc_pairwise_cosine
2010Q3,2199,1000,413,113.405,77.82933614274816,0.7258665013906479,0.017321797982351943,78.52142644785954,0.6800726392251816,0.020694416301736428
2010Q4,1689,1000,473,138.532,80.3630506480479,0.7053016448370558,0.018847149857263417,78.25234992812763,0.682198731501057,0.01880713358300505
2011Q1,1772,1000,504,147.392,76.73580341790012,0.6828739845817746,0.021249090320224165,75.02867726116457,0.6733928571428571,0.019984667638160213
2011Q2,1924,1000,494,138.777,74.41439711638434,0.6845175550435386,0.021289532423940296,73.17367769403147,0.6706882591093116,0.021439864248480725
2011Q3,2000,1000,532,147.229,75.20552455902632,0.6783398218934809,0.021788482665717004,73.14755679368874,0.6689473684210526,0.021582762307665287
2011Q4,2156,1000,516,144.527,73.23393002279745,0.673164200442934,0.021070598677683416,71.95995782575925,0.6651744186046512,0.020518641702041904
2012Q1,2549,1000,529,146.86,77.63788646839863,0.6770317757434,0.021893993972795303,77.21701429985967,0.6774669187145558,0.020697414943118456
2012Q2,2815,1000,554,154.251,72.44711148177646,0.6571379956540652,0.022951199061837707,71.84804515108897,0.667942238267148,0.02157083181112494
2012Q3,2781,1000,595,156.863,72.43723050967239,0.6490965554113095,0.02427404501430379,71.55888049308581,0.6656806722689076,0.022175619782040017
2012Q4,2746,1000,529,136.119,75.11180040581694,0.6778842020516079,0.021796757615046312,73.32105577169469,0.6688846880907373,0.02121472118171138
2013Q1,2806,1000,537,155.026,72.26698300323243,0.6607704796763655,0.022704880405287595,73.53332650982576,0.6694040968342645,0.021140262472316346
2013Q2,3258,1000,564,155.948,73.70892650255071,0.6558964594193656,0.024032195906880775,73.13904418343759,0.6685283687943263,0.02349444218847012
2013Q3,3382,1000,552,155.928,71.80976084531372,0.653570177345181,0.023222733394409792,70.59103899243708,0.6608695652173913,0.02105355512621574
2013Q4,3264,1000,588,169.692,71.97059860877863,0.6447910858562952,0.024687091957759866,71.23113727071565,0.6629421768707483,0.02139548097209248
2014Q1,3893,1000,601,162.977,69.97419255945005,0.6383867188590236,0.024163686417519772,69.96909837747329,0.661630615640599,0.021759698923131246
2014Q2,4259,1000,559,146.947,72.21900402498348,0.6613560552786729,0.022601012227168128,72.74943260577771,0.666386404293381,0.021956959599484092
2014Q3,4216,1000,588,157.164,71.20985441323828,0.6464445147450596,0.023465430793678875,70.72284965264595,0.6639455782312925,0.022112490113219727
2014Q4,4135,1000,558,164.628,72.22275147276494,0.6490809354176266,0.023013264000262622,70.9070090930324,0.6619175627240144,0.020768989592974896
2015Q1,4304,1000,587,165.704,72.33749180740483,0.6454421954042382,0.02338808423577062,72.083819764206,0.6652810902896082,0.02050205285329197
2015Q2,4616,1000,546,155.372,70.17718409989031,0.6533396486479187,0.022746488729883378,68.56042082603234,0.6587728937728937,0.021326087788801636
2015Q3,4713,1000,582,159.086,71.37166616977564,0.6459866063417774,0.023245032794015724,70.35958005258252,0.6626632302405498,0.020978781988346143
2015Q4,4523,1000,559,161.931,72.92597060656192,0.6508138117936373,0.022458623850216186,73.11294088634901,0.6668336314847942,0.019956685961196013
2016Q1,4629,1000,549,163.994,70.63183722351266,0.6432885290352834,0.02210181881778107,70.78260883472315,0.661384335154827,0.019999440016631665
2016Q2,4900,1000,554,158.042,70.28359923611522,0.6410563213067451,0.02251300802477798,70.4530897088029,0.6615523465703971,0.02030870468047128
2016Q3,5041,1000,595,165.186,71.96899000541175,0.6391207154308454,0.023180797431404894,71.76566555467875,0.6632268907563025,0.02055518916574476
2016Q4,5161,1000,544,150.767,69.795300920217,0.6464135656549677,0.022643698884650884,70.50087086546006,0.6600735294117647,0.02099577282176266
2017Q1,5330,1000,559,157.598,68.86801960176415,0.6392126426804675,0.023297967928866598,69.80883980295681,0.6584257602862255,0.021142716222424175
2017Q2,5245,1000,560,152.441,69.77408888059176,0.6415111146556303,0.022453045300296882,67.96723814923023,0.6549642857142857,0.020761262284477274
2017Q3,4987,1000,555,161.447,69.8646962752914,0.6423693966596914,0.022659240232542385,70.81377370080251,0.6585765765765765,0.02103751322993999
2017Q4,4714,1000,584,165.519,69.87327349606325,0.6366816055596348,0.02373864377152691,71.48256865846345,0.6600171232876713,0.020850679847571024
2018Q1,5000,1000,573,163.695,69.32825188067486,0.6410251060746398,0.02238150666508029,70.32086234694445,0.6598952879581151,0.02054853535294893
2018Q2,4842,1000,566,159.603,67.72765577567384,0.6330193534784293,0.022741283763987086,67.74538253837545,0.6552473498233216,0.020971623764998466
2018Q3,5032,1000,566,155.867,70.56666026151309,0.6459278384399872,0.022252434137692702,70.54571572193018,0.6605300353356891,0.02096305759627946
2018Q4,4676,1000,548,156.659,68.42898223160883,0.6443391807801595,0.02277961903703528,67.71542274275016,0.652956204379562,0.021790824025770934
2019Q1,5032,1000,537,155.763,68.17733419444717,0.6454184371850913,0.023281001931971586,68.51513784155668,0.6546741154562383,0.021718884630372373
2019Q2,4846,1000,559,160.729,68.94870943484396,0.6386380835330242,0.023505706210733838,68.6209903172258,0.6564221824686942,0.02170864311170508
2019Q3,4464,1000,615,161.334,70.32203165584657,0.6337001542165133,0.024799096281707726,71.25665191054806,0.6628617886178862,0.022592859676072673
2019Q4,4368,1000,540,155.442,67.65449140495781,0.6446928547825158,0.02261928909434672,67.12338559024464,0.6524444444444444,0.021850604698565035
2020Q1,4354,1000,585,168.971,68.22386204437207,0.6276866562507153,0.02388349309706651,70.15897873016925,0.6595213675213675,0.02179451319743574
2020Q2,5369,1000,604,170.531,66.59024350015105,0.6229184852542913,0.02467749174086814,66.81286782034417,0.6512913907284769,0.021944971130410416
2020Q3,4694,1000,638,184.015,67.97073783575055,0.6184697849705281,0.024429673506874167,68.43703707904723,0.6545297805642633,0.021545955803702863
2020Q4,4120,1000,609,178.828,67.16832032932095,0.6193440854654887,0.025008196066852454,68.62337449360233,0.6517898193760262,0.022108895404576688
2021Q1,4032,1000,586,168.486,66.99075730942667,0.6288419496134456,0.023200532557572488,67.8890031095782,0.6550682593856655,0.021115117374710776
2021Q2,3953,1000,615,168.267,67.25675365241598,0.6244087094930262,0.024050109819922,68.5219659865958,0.6542439024390244,0.021630472127287827
2021Q3,3453,1000,619,179.559,68.7135053730035,0.6238786686172997,0.024653476429668985,69.0703661396406,0.6549757673667205,0.021897388965489283
2021Q4,3653,1000,614,173.048,68.60378197171777,0.6217918290029107,0.02478416267426281,69.45194003531853,0.6567752442996743,0.022206943550225317
2022Q1,3475,1000,653,180.995,69.06916992773176,0.6175709172707784,0.02591336719447361,68.04209848101014,0.6551761102603368,0.02179347690377776
2022Q2,3216,1000,650,185.919,66.91020624542561,0.6105747873197056,0.025939025740329354,67.43754995655951,0.6537538461538461,0.022261942524288925
2022Q3,3257,1000,617,170.99,69.0557757202241,0.624708377194063,0.02440601727603937,69.71195884047123,0.6585899513776338,0.021907318130036827
2022Q4,3079,1000,608,174.986,68.65099729526258,0.6289284988668792,0.025308240534331006,68.13099879912414,0.6575164473684211,0.02216496274352711
2023Q1,3199,1000,686,189.968,67.39111778745374,0.6063892440869914,0.02673056708537221,66.01521566303448,0.6502040816326531,0.02239118742944868
2023Q2,2718,1000,653,198.411,66.37331447317449,0.6050302295604674,0.026008289696246526,66.66300476683838,0.651791730474732,0.021470166982276623
2023Q3,2373,1000,650,178.919,69.42271369863413,0.6163658374263349,0.024809320457980788,69.30387436280265,0.6574461538461538,0.021057472047539712
2023Q4,2653,1000,647,191.561,72.02206942155557,0.616581580548322,0.025213727162596265,71.25868331550465,0.662210200927357,0.0208380998922092
2024Q1,2489,1000,665,198.058,71.20202154989087,0.610034975015992,0.027102335160552455,72.64113221339402,0.6640902255639097,0.021646940179802385
2024Q2,2246,1000,687,205.56,70.40059672167753,0.6003687118957255,0.026462929796544084,71.11600856481073,0.6629548762736536,0.021062195197016232
2024Q3,1827,1000,711,212.648,71.14798379473368,0.59478018980335,0.027761915973032274,71.77091496889214,0.6631645569620253,0.02204214168379572
2024Q4,1654,1000,713,213.416,70.22592293223116,0.5961126164342406,0.027671693717500858,71.32081944104574,0.6624544179523142,0.021230632224634182
2025Q1,1513,1000,759,222.668,72.43804285560485,0.5887396118994039,0.02895052201176584,72.60461405714578,0.6658102766798419,0.022027192693667607
2025Q2,1054,1000,734,234.999,73.52539858289055,0.5934681754137892,0.028323421349240662,74.57344250660209,0.6713760217983651,0.02111389130581262
2025Q3,890,890,697,257.3674157303371,75.38946210946628,0.579038547445708,0.030820417348481143,75.92242907868557,0.6760545193687232,0.021303260836818702
2025Q4,756,756,566,245.38227513227514,75.25844980497848,0.5895119107475679,0.030598071564049787,75.49495241624288,0.6731978798586573,0.022357701563479965
2026Q1,656,656,505,250.0106707317073,78.00837252800865,0.5905186213536784,0.02941339806683533,77.12315528422445,0.6766138613861385,0.020711909178509926
