topic,size,pre_share,post_share,delta,top_words
2,966,0.03885035900961105,0.05378784019538807,0.014937481185777021,2_yoghurt_whipped_whipping_uht
37,298,0.011553609794732217,0.022813659056464534,0.011260049261732318,37_canner_cans_lids_spores
0,1197,0.04914828387112026,0.0604068257883575,0.011258541917237241,0_copper_rust_teflon_cookware
12,617,0.024958152838463445,0.03560254544950488,0.010644392611041432,12_ganache_cacao_tempering_chocolates
22,463,0.018579642904170378,0.028909560097241348,0.01032991719307097,22_ketchup_san_ripe_diced
1,1049,0.042690576065942426,0.05261717365841582,0.009926597592473392,1_defrosting_toxins_freezers_40f
48,189,0.008132560993875984,0.016555423787289168,0.008422862793413184,48_agar_jello_gelatine_gelling
16,540,0.021862024797415815,0.02984692525878164,0.007984900461365824,16_olives_fryer_virgin_evoo
13,566,0.023375691705589948,0.031270660220002626,0.007894968514412678,13_lentils_peas_chickpeas_hummus
14,563,0.02255539634334713,0.030093392705493154,0.007537996362146023,14_cheeses_cheddar_mozzarella_feta
23,425,0.017118629045727123,0.024427769546798855,0.007309140501071731,23_ovens_quiet_dial_thermostat
42,232,0.009593618427155235,0.016888122954518737,0.007294504527363502,42_scales_ounce_pint_weighing
18,488,0.019483111245929104,0.02660809475745665,0.007124983511527544,18_margarine_clarified_ghee_buttercream
15,563,0.023390975307060496,0.02855631492390298,0.005165339616842485,15_wines_vodka_rum_gin
49,167,0.007385227902583728,0.012238711473703607,0.004853483571119879,49_pancakes_pancake_crepe_crepes
43,229,0.010033300100918446,0.014715412073685584,0.004682111972767139,43_microwaves_turntable_waves_mode
45,221,0.009455995213659035,0.0141174064848906,0.004661411271231566,45_fillings_crusts_flaky_lattice
7,765,0.031268833999027974,0.035631043184612396,0.004362209185584422,7_breast_bird_stuffing_breasts
25,395,0.016368266208075077,0.02061914613196805,0.004250879923892972,25_toppings_pizzas_neapolitan_ovens
27,345,0.014051347066967404,0.018299583303810377,0.004248236236842973,27_leeks_chives_shallots_leek
51,157,0.006871085905384606,0.010838946512206358,0.003967860606821752,51_sausages_casing_chorizo_dog
47,192,0.00822253044253061,0.012147678884011184,0.003925148441480574,47_flours_bran_glutenfree_ap
8,757,0.03114845706830795,0.0348597963696603,0.0037113393013523503,8_salmon_shrimp_cod_tuna
36,308,0.012939180003056099,0.016527813481007767,0.0035886334779516686,36_popcorn_tortillas_kernels_tortilla
44,224,0.009271374798729222,0.012676797919574607,0.0034054231208453852,44_bones_bone_stocks_marrow
20,483,0.0198273368156186,0.022799666264964262,0.0029723294493456606,20_muffins_muffin_icing_cupcakes
33,324,0.013967104664186934,0.016727839089007192,0.002760734424820258,33_charcoal_coals_bbq_smoker
50,164,0.007016939562055086,0.009627414454652101,0.002610474892597015,50_pickles_pickling_pickle_pickled
30,330,0.014383408848504808,0.016979577288778226,0.002596168440273418,30_garam_curries_masala_coriander
38,281,0.012235623398377754,0.014827671776025697,0.0025920483776479437,38_clove_bulb_crushing_mincing
39,260,0.011378300554777933,0.013409931455005982,0.0020316309002280496,39_proofing_shaping_knead_proofed
28,343,0.014394640541483211,0.016236526951638974,0.0018418864101557627,28_peanuts_almonds_chestnuts_walnuts
9,719,0.02986672657891282,0.03127442063823797,0.0014076940593251465,9_berries_lemons_oranges_zest
11,677,0.027822024951739074,0.028899756866100915,0.0010777319143618416,11_glucose_sucrose_molasses_fructose
35,313,0.013728201518494075,0.01444089612807355,0.0007126946095794753,35_barley_bones_bouillon_clam
40,244,0.011923437553056694,0.0126231286034473,0.0006996910503906054,40_sorbet_icecream_churning_pistachio
41,239,0.010829013746243444,0.011326108693675776,0.0004970949474323322,41_starter_sourdough_feeding_starters
32,326,0.013783092970586622,0.014056748284492864,0.0002736553139062424,32_lettuce_broccoli_spinach_greens
19,487,0.020446360797598578,0.020614290828191904,0.00016793003059332665,19_msg_glutamate_miso_thai
34,318,0.013763343229440318,0.013381204125333378,-0.00038213910410694017,34_salts_chloride_iodine_saltiness
17,539,0.022247043086379422,0.021012786723177176,-0.0012342563632022456,17_fries_waxy_hash_starchy
26,370,0.017021586466765305,0.015039946194199676,-0.0019816402725656296,26_teas_caffeine_brewing_steep
31,329,0.014030869596414496,0.011702519307690187,-0.002328350288724308,31_biscuits_macadamia_shortbread_biscotti
5,802,0.033526222597015536,0.03114738267593236,-0.0023788399210831757,5_risotto_basmati_sushi_saffron
46,209,0.010521825741431215,0.007738437996320857,-0.002783387745110358,46_cured_belly_cure_streaky
10,706,0.029540927721279208,0.02605993386102363,-0.0034809938602555768,10_noodles_spaghetti_noodle_dente
29,337,0.015480068334919678,0.011411483123833716,-0.0040685852110859625,29_skills_menu_app_gastronomy
3,928,0.03928634011095886,0.03509757324794182,-0.004188766863017043,3_yolks_scrambled_poached_pasteurized
6,795,0.03368077570727826,0.028914688153256506,-0.004766087554021754,6_knives_sharpening_sharpen_angle
24,405,0.018388478399144575,0.01132127132714404,-0.007067207072000535,24_espresso_grounds_caffeine_brew
21,478,0.02103984328850349,0.012158049939137943,-0.008881793349365548,21_capsaicin_cayenne_chilli_chillies
4,888,0.03807832073760191,0.022875838914205904,-0.015202481823396004,4_steaks_sear_lamb_collagen
