quarter,topic,count,total,share
2010Q3,0,15,506,0.029644268774703556
2010Q3,1,19,506,0.037549407114624504
2010Q3,2,12,506,0.023715415019762844
2010Q3,3,28,506,0.05533596837944664
2010Q3,4,20,506,0.039525691699604744
2010Q3,5,19,506,0.037549407114624504
2010Q3,6,25,506,0.04940711462450593
2010Q3,7,21,506,0.041501976284584984
2010Q3,8,23,506,0.045454545454545456
2010Q3,9,11,506,0.021739130434782608
2010Q3,10,19,506,0.037549407114624504
2010Q3,11,12,506,0.023715415019762844
2010Q3,12,8,506,0.015810276679841896
2010Q3,13,7,506,0.01383399209486166
2010Q3,14,11,506,0.021739130434782608
2010Q3,15,15,506,0.029644268774703556
2010Q3,16,17,506,0.03359683794466403
2010Q3,17,15,506,0.029644268774703556
2010Q3,18,11,506,0.021739130434782608
2010Q3,19,7,506,0.01383399209486166
2010Q3,20,4,506,0.007905138339920948
2010Q3,21,5,506,0.009881422924901186
2010Q3,22,13,506,0.025691699604743084
2010Q3,23,3,506,0.005928853754940711
2010Q3,24,5,506,0.009881422924901186
2010Q3,25,4,506,0.007905138339920948
2010Q3,26,1,506,0.001976284584980237
2010Q3,27,13,506,0.025691699604743084
2010Q3,28,3,506,0.005928853754940711
2010Q3,29,39,506,0.07707509881422925
2010Q3,30,6,506,0.011857707509881422
2010Q3,31,4,506,0.007905138339920948
2010Q3,32,7,506,0.01383399209486166
2010Q3,33,7,506,0.01383399209486166
2010Q3,34,5,506,0.009881422924901186
2010Q3,35,3,506,0.005928853754940711
2010Q3,36,13,506,0.025691699604743084
2010Q3,37,3,506,0.005928853754940711
2010Q3,38,11,506,0.021739130434782608
2010Q3,39,4,506,0.007905138339920948
2010Q3,40,3,506,0.005928853754940711
2010Q3,41,1,506,0.001976284584980237
2010Q3,42,5,506,0.009881422924901186
2010Q3,43,2,506,0.003952569169960474
2010Q3,44,4,506,0.007905138339920948
2010Q3,45,5,506,0.009881422924901186
2010Q3,46,4,506,0.007905138339920948
2010Q3,47,6,506,0.011857707509881422
2010Q3,48,1,506,0.001976284584980237
2010Q3,49,2,506,0.003952569169960474
2010Q3,50,1,506,0.001976284584980237
2010Q3,51,4,506,0.007905138339920948
2010Q4,0,25,490,0.05102040816326531
2010Q4,1,14,490,0.02857142857142857
2010Q4,2,15,490,0.030612244897959183
2010Q4,3,17,490,0.03469387755102041
2010Q4,4,14,490,0.02857142857142857
2010Q4,5,25,490,0.05102040816326531
2010Q4,6,10,490,0.02040816326530612
2010Q4,7,28,490,0.05714285714285714
2010Q4,8,18,490,0.036734693877551024
2010Q4,9,15,490,0.030612244897959183
2010Q4,10,14,490,0.02857142857142857
2010Q4,11,11,490,0.022448979591836733
2010Q4,12,11,490,0.022448979591836733
2010Q4,13,12,490,0.024489795918367346
2010Q4,14,19,490,0.03877551020408163
2010Q4,15,6,490,0.012244897959183673
2010Q4,16,7,490,0.014285714285714285
2010Q4,17,9,490,0.018367346938775512
2010Q4,18,15,490,0.030612244897959183
2010Q4,19,6,490,0.012244897959183673
2010Q4,20,12,490,0.024489795918367346
2010Q4,21,8,490,0.0163265306122449
2010Q4,22,8,490,0.0163265306122449
2010Q4,23,7,490,0.014285714285714285
2010Q4,24,8,490,0.0163265306122449
2010Q4,25,10,490,0.02040816326530612
2010Q4,26,10,490,0.02040816326530612
2010Q4,27,9,490,0.018367346938775512
2010Q4,28,15,490,0.030612244897959183
2010Q4,29,12,490,0.024489795918367346
2010Q4,30,1,490,0.0020408163265306124
2010Q4,31,5,490,0.01020408163265306
2010Q4,32,10,490,0.02040816326530612
2010Q4,33,2,490,0.004081632653061225
2010Q4,34,2,490,0.004081632653061225
2010Q4,35,4,490,0.00816326530612245
2010Q4,36,4,490,0.00816326530612245
2010Q4,38,4,490,0.00816326530612245
2010Q4,39,6,490,0.012244897959183673
2010Q4,40,2,490,0.004081632653061225
2010Q4,41,2,490,0.004081632653061225
2010Q4,42,3,490,0.006122448979591836
2010Q4,43,4,490,0.00816326530612245
2010Q4,44,12,490,0.024489795918367346
2010Q4,45,10,490,0.02040816326530612
2010Q4,46,10,490,0.02040816326530612
2010Q4,47,1,490,0.0020408163265306124
2010Q4,48,2,490,0.004081632653061225
2010Q4,49,9,490,0.018367346938775512
2010Q4,51,7,490,0.014285714285714285
2011Q1,0,26,471,0.055201698513800426
2011Q1,1,17,471,0.036093418259023353
2011Q1,2,14,471,0.029723991507430998
2011Q1,3,11,471,0.02335456475583864
2011Q1,4,21,471,0.044585987261146494
2011Q1,5,14,471,0.029723991507430998
2011Q1,6,18,471,0.03821656050955414
2011Q1,7,6,471,0.012738853503184714
2011Q1,8,23,471,0.04883227176220807
2011Q1,9,20,471,0.04246284501061571
2011Q1,10,17,471,0.036093418259023353
2011Q1,11,23,471,0.04883227176220807
2011Q1,12,12,471,0.025477707006369428
2011Q1,13,10,471,0.021231422505307854
2011Q1,14,7,471,0.014861995753715499
2011Q1,15,6,471,0.012738853503184714
2011Q1,16,11,471,0.02335456475583864
2011Q1,17,8,471,0.016985138004246284
2011Q1,18,8,471,0.016985138004246284
2011Q1,19,15,471,0.03184713375796178
2011Q1,20,3,471,0.006369426751592357
2011Q1,21,12,471,0.025477707006369428
2011Q1,22,9,471,0.01910828025477707
2011Q1,23,3,471,0.006369426751592357
2011Q1,24,8,471,0.016985138004246284
2011Q1,25,6,471,0.012738853503184714
2011Q1,26,12,471,0.025477707006369428
2011Q1,27,9,471,0.01910828025477707
2011Q1,28,5,471,0.010615711252653927
2011Q1,29,19,471,0.040339702760084924
2011Q1,30,5,471,0.010615711252653927
2011Q1,31,4,471,0.008492569002123142
2011Q1,32,7,471,0.014861995753715499
2011Q1,33,9,471,0.01910828025477707
2011Q1,34,7,471,0.014861995753715499
2011Q1,35,9,471,0.01910828025477707
