quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2011Q2,350,350,44,0.04144085141219812,0.12385001061998398,0.30697190274353664,0.11593320430397018,-0.002811721786022255,-0.011039203512509043,0.21226547780765717,29.216644630233045,3.3747385684569684,0.16981773118217935
2011Q3,800,800,49,0.038576345431789734,0.10048727889479217,0.271709527958994,0.09361712483302732,-0.0012069034804274576,-0.008121998420684617,0.20280801797992237,32.546096201480744,3.482657429095934,0.11059500603411376
2011Q4,800,800,47,0.03998122653316646,0.09371046505952395,0.2484414056541589,0.08726649442209168,-0.0012087916828635544,-0.007705992083677245,0.2209509744071328,32.344049311930924,3.4764300569456097,0.12082915064678382
2012Q1,800,800,47,0.04322277847309136,0.09542361482435614,0.24122880062676338,0.08883680955310613,-0.0012007534092864551,-0.0076363906628843905,0.20687970663637956,31.140088042614384,3.4384959937176673,0.11705593204755434
2012Q2,800,800,49,0.034583854818523156,0.09070149906868125,0.2534375441634567,0.0848718474874552,-0.0012135134541577134,-0.006995835868957639,0.19844919118601043,35.30039900622955,3.563894267167991,0.08468822338603244
2012Q3,800,800,48,0.036846057571964956,0.09034514625588659,0.2544577736575399,0.08406691486300667,-0.0012104634457600551,-0.007410940506037455,0.20508136522327808,34.58712593184098,3.543481529928893,0.09025979462306072
2012Q4,800,800,49,0.03459324155193993,0.08600276647386065,0.25587410650984144,0.07991579821183707,-0.0012140609328666302,-0.0073503716549203554,0.19491611933211322,35.37802379395012,3.5660908305845505,0.07985492475576424
2013Q1,800,800,50,0.030963704630788486,0.09163784972122521,0.265426160830433,0.08608477605496091,-0.00120548916201053,-0.006884441303872865,0.1973918593187451,37.603898000191634,3.6271077152403257,0.06733709719665187
2013Q2,800,800,50,0.03156445556946183,0.09009041543170851,0.2683535210416185,0.08428024261323049,-0.0012079550679876601,-0.0070931425584713085,0.1957404801138174,37.47032235381183,3.6235492157526266,0.06618210584073438
2013Q3,800,800,50,0.02905819774718398,0.08101373390034744,0.26697372111326145,0.0754483518465942,-0.001226139080691898,-0.007061115567810991,0.19544192032286795,39.55420248452416,3.677671946078826,0.05868880591089756
2013Q4,800,800,50,0.025732165206508135,0.07387447104766434,0.24947674891990645,0.06923649916408527,-0.001231049795464687,-0.0061447476666697375,0.20050018123666874,42.26693021051411,3.744004988580106,0.03955414313224292
2014Q1,800,800,50,0.02556320400500626,0.07030695461468141,0.2536737852387726,0.06549654133979194,-0.001235873124621968,-0.006268771442252656,0.19020539014020998,42.598112839969914,3.751809952762849,0.031853790587537754
2014Q2,800,800,50,0.024283479349186482,0.07057354836827152,0.26828595092074625,0.06565291318085188,-0.0012326949279921338,-0.006482171988615329,0.1887706742473768,43.456203646411275,3.7717536181920783,0.025257082342264585
2014Q3,800,800,50,0.025028160200250314,0.07243306373410975,0.27444579698042587,0.06724726569996582,-0.001237168160204562,-0.006740085962706736,0.19227985011841647,43.0785233168607,3.763024574004796,0.023908819164056194
