quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2011Q2,350,350,171,0.12385001061998398,0.8736467036960731,67.38530151136845,0.12710306312940783,0.8677922764210566,52.68005236569856,0.11595773603053942,0.13240642033462066,0.11627626311859725,0.1381253635306933
2011Q3,912,800,434,0.09936896855142872,0.8995052426592606,81.20848038881871,0.10478803399251926,0.893149265624975,71.93695913689047,0.09449019859539576,0.10451010753789745,0.09888047118802826,0.11143998511292433
2011Q4,1121,800,445,0.09315089839855047,0.9057155402244477,85.50786216662209,0.1011595593106411,0.8968205745305065,75.89203659961973,0.08771158724528895,0.09857905704722957,0.0942928123139043,0.10873408945575533
2012Q1,1059,800,437,0.09470087202031233,0.904167504069713,88.42428153204258,0.09941565857144564,0.8985235076953082,77.91620047989224,0.08970605290329688,0.09995492845991004,0.09258559543474597,0.106120935569065
2012Q2,1022,800,479,0.0914572343110028,0.907407087231886,84.94713691314851,0.09532344634136818,0.9027878760935825,76.16257047011379,0.0867754856691103,0.09615507519685154,0.08920335193215659,0.10118375113297502
2012Q3,896,800,468,0.08992248252563924,0.9089399205775178,84.28128168727186,0.0949510136744439,0.9031151209701596,74.8638043666812,0.08483088206098877,0.09509496568335857,0.08920917673688072,0.10096734423433744
2012Q4,821,800,463,0.08496545883967185,0.9138907479838777,85.43438134414285,0.09365791418162826,0.9043845435163882,77.0311803118104,0.08035862932983277,0.08991566651377189,0.0878383637208091,0.09947564010315559
2013Q1,1310,800,481,0.09057574793917195,0.908287471745752,84.02365801096398,0.09715947621757928,0.9009635164564698,76.62255574308477,0.08505004715183652,0.09589633178986744,0.09126651483509518,0.10354659136548945
2013Q2,1133,800,474,0.08859796849721605,0.9102627789634055,84.21654121101074,0.09635210633939631,0.9017414635052016,77.55151308526625,0.08376663308979553,0.09335705539324887,0.09013487422796573,0.1024630503934331
2013Q3,1077,800,520,0.07937178412076042,0.9194774306093906,82.53831143676112,0.08917541844171714,0.909072995824517,74.17977168195611,0.07513974841973288,0.08334501057337114,0.08416023279282922,0.09407620823613819
2013Q4,989,800,466,0.0728007354407271,0.9260402654785738,85.32085217330952,0.0794458523316421,0.9185787095832327,75.74336656375678,0.06896209916497381,0.07674921439380418,0.07489626713003035,0.08382142989229839
2014Q1,1336,800,489,0.07046676053111815,0.9283713229195457,85.01100750748297,0.08031883461953397,0.9178004268009559,77.55896573264855,0.06683253852964742,0.07410918730496253,0.07540421878514499,0.08504416354816588
2014Q2,1813,800,482,0.0719502120051575,0.926889725759849,83.02892955271703,0.07899265671315149,0.9190965396700708,74.25263391609208,0.06852827605431229,0.07582575845257082,0.07402120267507273,0.08402986987220938
2014Q3,1802,800,496,0.07310749333063545,0.9257338910360279,81.02853249169688,0.0791866157315001,0.9189569056711844,74.50961139123574,0.06930073780881545,0.07697349818274794,0.07471596122572403,0.08400950384391513
2014Q4,1683,800,518,0.06869237091162585,0.9301434945520137,82.83075585075869,0.07803929672948885,0.9201808563530005,75.71533026290307,0.06536280032595737,0.07237874848133963,0.07335542362231198,0.08301426689018794
2015Q1,1981,800,492,0.06979570345442807,0.92904154117489,84.10928551630796,0.07927920146682177,0.9188494147963222,74.24378621793106,0.06610771731254952,0.07375369506461864,0.07464563148156715,0.08364969542581914
2015Q2,2428,800,509,0.07010041074167118,0.9287372147717559,83.5349694407752,0.07958915788587906,0.91860256933983,73.98231180160518,0.0667172155380159,0.07379351509914107,0.07517723253824832,0.08408067812249341
2015Q3,2174,800,486,0.07392044379424215,0.9249219567605007,80.86487012162571,0.08462515027159223,0.9134913623832875,73.22538419403026,0.07057493302960918,0.0775994443223001,0.07991740323178506,0.08936950514980006
2015Q4,1770,800,475,0.07193460103392452,0.9269053172173679,82.96718566557216,0.08080456857553384,0.9172602831477831,75.8228211523751,0.06834314743773322,0.0754597602483013,0.07623308823190758,0.08602128279499131
2016Q1,1960,800,470,0.07393611658996813,0.9249063035557693,80.41468287881952,0.0805753097768309,0.9174684674780134,74.09505321530915,0.07061545297628849,0.07731421194678884,0.07606628380638657,0.08540685668241445
2016Q2,2715,800,513,0.07032330228695796,0.9285146018409007,82.01250050440883,0.07897156717709268,0.9192330557608743,75.48272378995804,0.06681567349983825,0.07407760481940288,0.07481625054326199,0.08349216715525723
2016Q3,3172,800,491,0.06685431139129533,0.9319792564979438,86.34736663442476,0.07773315130872643,0.9203885048039187,77.23246627612365,0.0631943218831702,0.07031102933744743,0.07318316983623586,0.0823332136958438
2016Q4,2461,800,499,0.06767028605423965,0.9311643018033281,85.15766153232119,0.07708366283910534,0.9210668054230973,76.47848962507582,0.06394394674124482,0.07139075752199243,0.07226147721813621,0.08248624103929157
2017Q1,2553,800,453,0.06776113875639467,0.9310735626670508,80.73412419448474,0.07790496131292021,0.9200595088003534,71.706339141668,0.06468283951046085,0.0713082072402368,0.07292586723069447,0.08301988665964045
2017Q2,2267,800,459,0.07594390191392854,0.9229010279634638,79.85882159247639,0.0854100600503623,0.9125973692743662,70.96608712270942,0.07218961432957119,0.07967109524090697,0.08029157573014799,0.09042317074116653
2017Q3,2657,800,440,0.07540245218185661,0.9234418008833707,79.1536274222374,0.08717577640282975,0.9107496230889949,71.99464757314165,0.07169869741808889,0.07910752961830884,0.08185792416729631,0.09243548625583574
2017Q4,2088,800,428,0.07706012928112754,0.9217861958804738,77.8978474808487,0.0848610945664336,0.9130007304208712,71.48940109026012,0.07319650830926411,0.08089039825586107,0.07986043804665637,0.08991197073459328
2018Q1,2026,800,454,0.07235847607167427,0.9264819720234153,74.61720989000699,0.08134493498094891,0.9166315957128417,66.8584466009321,0.06831849461248901,0.07626902556946161,0.07627338928509296,0.08650892947943635
2018Q2,2269,800,406,0.07180574701700539,0.9270340101667659,77.08477068776709,0.08195321624274933,0.9157855847824791,67.94903770199916,0.06779220126626309,0.07575106905643651,0.07605632904643718,0.08703419470596116
2018Q3,2496,800,448,0.07483744796471137,0.9240060988452445,77.22487759864424,0.086122663984064,0.9118374312480433,71.95496132856984,0.07108491214589603,0.07886823984366889,0.08071091490695308,0.09111784482371085
2018Q4,2060,800,455,0.07276386263673193,0.926077092191564,78.44376547209278,0.08662368976095179,0.9113688897769844,69.80749945439818,0.06888879783033795,0.07656214199582469,0.08137736926496757,0.09182036162383124
2019Q1,2282,800,476,0.07450136470753135,0.924341761998353,74.32988664713754,0.08656790138349943,0.9115131236194071,66.47322825844128,0.07075582656385906,0.0784060395898939,0.08154568206239286,0.09199223637886472
2019Q2,2121,800,445,0.07603217479863063,0.9228128654198676,76.56190959513012,0.08638534096775063,0.9115615923827387,68.57204130232093,0.07251766974702603,0.0798270830996987,0.0815566293822344,0.09146039544791382
2019Q3,2520,800,432,0.0745925983272376,0.9242506424206715,79.18959017484787,0.08716134297112771,0.9107256045820462,71.18978139091658,0.0710600798178905,0.07812188064297501,0.08215856569714969,0.09244377424405795
2019Q4,1804,800,433,0.07262214483697083,0.9262186328440754,82.18752812900811,0.0879543162701262,0.9099393426589041,70.63242148948747,0.06914266202212362,0.07642242333365935,0.08269234800180049,0.09342972579527489
2020Q1,1753,800,474,0.0757189119503779,0.9231257366895601,81.3095181909528,0.08842265623866095,0.909654184808256,71.78255314557407,0.07178315970874408,0.07962884612509745,0.08322870227652711,0.09350189487733783
2020Q2,699,699,460,0.08817356056294283,0.9105219667053875,70.91332467749591,0.1051817353613197,0.8928730075416397,62.79624578538918,0.08353557284250387,0.09368050120447481,0.09780689985902893,0.11261282533837416
2020Q3,692,692,440,0.08373615164890048,0.9149397676453899,74.16291794126964,0.09798064187079542,0.8999693141334564,66.7518761726203,0.07871311399762058,0.08870565167795558,0.09166104903106746,0.10512505072018677
2020Q4,572,572,383,0.0799461286965681,0.9184453855144399,74.85835941105594,0.09586307110750729,0.9017762580598753,67.00965744665754,0.07479991555746954,0.0855388040566885,0.08939581023626358,0.10309461929882545
2021Q1,537,537,332,0.0762398331022733,0.922039943123243,76.69627855225743,0.09510807973043511,0.9021663421964639,67.61842218633701,0.07094809635753134,0.08099048488282973,0.08769011566140902,0.10238110444289247
