topic,size,pre_share,post_share,delta,top_words
20,417,0.01822861328152964,0.04686765181974381,0.02863903853821417,20_thai_bangkok_laos_baht
1,984,0.04123534520550277,0.06319496746765042,0.021959622262147656,1_90180_di_180day_longstay
36,219,0.007751319150964045,0.026323766883311173,0.018572447732347126,36_malaysian_changi_causeway_kuala
11,599,0.026156426690899924,0.043895576700802214,0.01773915000990229,11_cancellation_voucher_rerouting_extraordinary
6,699,0.029529842873304773,0.04714616686140697,0.017616323988102197,6_chip_renew_renewal_issuing
9,620,0.026948649575540034,0.04364427012495338,0.016695620549413346,9_hk_mainland_macau_beijing
10,600,0.02629035588246009,0.03832692561155988,0.012036569729099788,10_delta_deadline_lax_jfk
21,392,0.016051338189821386,0.02781767276702776,0.011766334577206373,21_db_bahn_conductor_deutsche
35,232,0.011409271247462265,0.020168917746434315,0.00875964649897205,35_surname_maiden_characters_spelling
40,204,0.008976016288561364,0.017205998985878896,0.008229982697317532,40_kosovo_bulgaria_croatia_serbia
29,284,0.012807963418927638,0.0195499807609478,0.006742017342020162,29_db_basel_sbahn_hbf
4,850,0.038476971069661255,0.04489391695292064,0.006416945883259383,4_esta_vwp_b1b2_b2
49,168,0.007699648164769064,0.013759440937619737,0.006059792772850673,49_prescription_medication_drugs_medicines
44,185,0.009560029011038994,0.01556908404489315,0.006009055033854157,44_korean_seoul_jeju_incheon
51,158,0.007823633860872653,0.013772238765848826,0.0059486049049761736,51_movement_eea_directive_spouse
19,420,0.020309517672587502,0.025508519220214444,0.005199001547626942,19_lane_pedestrians_intersection_pedestrian
34,239,0.01234668175228662,0.016982523891634863,0.004635842139348242,34_bookingcom_cancellation_deposit_expedia
33,256,0.013016543052475122,0.017403746768917837,0.004387203716442715,33_dublin_cta_rep_isle
12,566,0.02647119302410213,0.029850888132676542,0.003379695108574412,12_jr_narita_kyoto_osaka
50,160,0.008459532589200224,0.010965460299812855,0.002505927710612631,50_stockholm_copenhagen_sek_arlanda
25,325,0.015415681415700056,0.01726385018048815,0.001848168764788093,25_aisle_rows_seating_belt
41,199,0.010077194368537584,0.01191377774887787,0.0018365833803402863,41_airside_cdg_nonschengen_flughafen
24,339,0.015785135935196443,0.017266226716505483,0.0014810907813090392,24_dubai_uae_emirates_oman
2,932,0.04527219154589939,0.04646894206208086,0.001196750516181469,2_refusal_applicant_sponsor_ties
31,267,0.013202479669319485,0.01420058007491243,0.0009981004055929447,31_subclass_eta_nz_600
30,277,0.013773633368979292,0.014353124056828209,0.0005794906878489169,30_vat_import_duties_importing
23,359,0.017452758014367627,0.017904157691873132,0.0004513996775055047,23_idp_licence_liability_hertz
26,312,0.014874854027067208,0.015221143729198607,0.0003462897021313995,26_eta_pr_ircc_vancouver
43,191,0.010909909166961315,0.010863167940352319,-4.674122660899664e-05,43_tipping_waiter_server_wage
45,171,0.009785209554532815,0.009272391773208917,-0.0005128177813238984,45_heathrow_gatwick_paddington_tube
52,156,0.008942804466857685,0.007902499262698993,-0.0010403052041586917,52_rer_lille_gare_cdg
48,168,0.010368824210678635,0.009266128939649763,-0.001102695271028872,48_tap_bottled_drinking_taste
46,171,0.009164157025093229,0.0075443644733838335,-0.0016197925517093953,46_israeli_jerusalem_jordan_aviv
42,193,0.011135620120266847,0.008994484849697127,-0.00214113527056972,42_earn_upgrade_award_alliance
38,207,0.011114208298291486,0.00875393298911601,-0.0023602753091754754,38_liquids_liquid_tsa_container
22,366,0.01889773649074073,0.015589367414401938,-0.003308369076338793,22_church_tower_wikimedia_commons
37,214,0.01189555286840089,0.00834580879327407,-0.00354974407512682,37_gps_offline_navigation_projection
47,170,0.010270270569275947,0.006639768053922532,-0.003630502515353415,47_venice_milan_roma_malpensa
32,259,0.014052183088757997,0.01034636268668457,-0.003705820402073427,32_plug_voltage_adapter_charger
27,308,0.015489797845083468,0.010681039333363222,-0.004808758511720246,27_hospital_insurances_insurer_nhs
28,284,0.0172547989399294,0.012335270546518428,-0.004919528393410972,28_spoken_speakers_native_mandarin
14,529,0.02751026792969867,0.021838415279394955,-0.005671852650303715,14_toilet_toilets_clothes_shoes
7,680,0.033622037916442304,0.02777082575766875,-0.005851212158773555,7_matrix_kayak_ita_pricing
13,561,0.027337978113112078,0.021228421406952167,-0.00610955670615991,13_moscow_belarus_ukraine_ukrainian
39,204,0.01327552279526667,0.006739090368687738,-0.006536432426578932,39_argentina_santiago_puerto_paz
8,623,0.030778369791718326,0.023785341340098184,-0.006993028451620142,8_carryon_kg_dimensions_allowance
18,426,0.023021652055254575,0.01552338208205811,-0.0074982699731964645,18_uber_cab_amtrak_greyhound
16,496,0.026031608492437144,0.01723042756182959,-0.008801180930607555,16_hostels_airbnb_couchsurfing_hostelworld
17,437,0.02383104383163308,0.014166408202543702,-0.009664635629089379,17_meat_dishes_fish_rice
0,1065,0.05146362313353072,0.04034817181539947,-0.011115451318131249,0_atm_banks_atms_debit
15,497,0.02729566352833633,0.016091592365884977,-0.011204071162451354,15_ships_cruises_beaches_boats
3,858,0.04351029833875614,0.030630077375285877,-0.01288022096347026,3_sim_roaming_prepaid_3g
5,744,0.0459125175269883,0.01913349571394273,-0.02677902181304557,5_quarantine_vaccination_vaccine_vaccinated
