quarter,topic,count,total,share
2011Q2,0,21,199,0.10552763819095477
2011Q2,1,3,199,0.01507537688442211
2011Q2,3,13,199,0.06532663316582915
2011Q2,4,1,199,0.005025125628140704
2011Q2,5,1,199,0.005025125628140704
2011Q2,7,8,199,0.04020100502512563
2011Q2,8,4,199,0.020100502512562814
2011Q2,11,2,199,0.010050251256281407
2011Q2,12,5,199,0.02512562814070352
2011Q2,13,10,199,0.05025125628140704
2011Q2,14,7,199,0.035175879396984924
2011Q2,15,25,199,0.12562814070351758
2011Q2,16,9,199,0.04522613065326633
2011Q2,18,18,199,0.09045226130653267
2011Q2,19,1,199,0.005025125628140704
2011Q2,20,2,199,0.010050251256281407
2011Q2,21,1,199,0.005025125628140704
2011Q2,23,6,199,0.03015075376884422
2011Q2,25,1,199,0.005025125628140704
2011Q2,26,1,199,0.005025125628140704
2011Q2,27,2,199,0.010050251256281407
2011Q2,28,15,199,0.07537688442211055
2011Q2,29,1,199,0.005025125628140704
2011Q2,31,1,199,0.005025125628140704
2011Q2,32,6,199,0.03015075376884422
2011Q2,37,5,199,0.02512562814070352
2011Q2,39,5,199,0.02512562814070352
2011Q2,42,5,199,0.02512562814070352
2011Q2,43,4,199,0.020100502512562814
2011Q2,45,2,199,0.010050251256281407
2011Q2,46,3,199,0.01507537688442211
2011Q2,47,3,199,0.01507537688442211
2011Q2,48,6,199,0.03015075376884422
2011Q2,50,1,199,0.005025125628140704
2011Q2,52,1,199,0.005025125628140704
2011Q3,0,36,408,0.08823529411764706
2011Q3,1,9,408,0.022058823529411766
2011Q3,3,25,408,0.061274509803921566
2011Q3,4,8,408,0.0196078431372549
2011Q3,5,7,408,0.01715686274509804
2011Q3,6,4,408,0.00980392156862745
2011Q3,7,25,408,0.061274509803921566
2011Q3,8,8,408,0.0196078431372549
2011Q3,9,17,408,0.041666666666666664
2011Q3,10,6,408,0.014705882352941176
2011Q3,12,2,408,0.004901960784313725
2011Q3,13,37,408,0.09068627450980392
2011Q3,14,9,408,0.022058823529411766
2011Q3,15,23,408,0.056372549019607844
2011Q3,16,30,408,0.07352941176470588
2011Q3,17,4,408,0.00980392156862745
2011Q3,18,13,408,0.031862745098039214
2011Q3,19,6,408,0.014705882352941176
2011Q3,20,5,408,0.012254901960784314
2011Q3,21,2,408,0.004901960784313725
2011Q3,22,5,408,0.012254901960784314
2011Q3,23,7,408,0.01715686274509804
2011Q3,24,1,408,0.0024509803921568627
2011Q3,25,6,408,0.014705882352941176
2011Q3,26,2,408,0.004901960784313725
2011Q3,27,9,408,0.022058823529411766
2011Q3,28,2,408,0.004901960784313725
2011Q3,29,5,408,0.012254901960784314
2011Q3,31,2,408,0.004901960784313725
2011Q3,32,3,408,0.007352941176470588
2011Q3,36,4,408,0.00980392156862745
2011Q3,37,10,408,0.024509803921568627
2011Q3,38,7,408,0.01715686274509804
2011Q3,39,5,408,0.012254901960784314
2011Q3,40,3,408,0.007352941176470588
2011Q3,42,12,408,0.029411764705882353
2011Q3,43,1,408,0.0024509803921568627
2011Q3,45,4,408,0.00980392156862745
2011Q3,46,12,408,0.029411764705882353
2011Q3,47,7,408,0.01715686274509804
2011Q3,48,7,408,0.01715686274509804
2011Q3,49,5,408,0.012254901960784314
2011Q3,50,9,408,0.022058823529411766
2011Q3,52,4,408,0.00980392156862745
2011Q4,0,13,379,0.03430079155672823
2011Q4,1,1,379,0.002638522427440633
2011Q4,3,29,379,0.07651715039577836
2011Q4,4,2,379,0.005277044854881266
2011Q4,5,3,379,0.0079155672823219
2011Q4,6,8,379,0.021108179419525065
2011Q4,7,17,379,0.044854881266490766
2011Q4,8,15,379,0.0395778364116095
2011Q4,9,5,379,0.013192612137203167
2011Q4,10,6,379,0.0158311345646438
2011Q4,11,2,379,0.005277044854881266
2011Q4,12,10,379,0.026385224274406333
2011Q4,13,25,379,0.06596306068601583
2011Q4,14,25,379,0.06596306068601583
2011Q4,15,21,379,0.055408970976253295
2011Q4,16,19,379,0.05013192612137203
2011Q4,17,13,379,0.03430079155672823
2011Q4,18,7,379,0.018469656992084433
2011Q4,19,5,379,0.013192612137203167
2011Q4,20,13,379,0.03430079155672823
2011Q4,21,3,379,0.0079155672823219
2011Q4,22,10,379,0.026385224274406333
2011Q4,23,3,379,0.0079155672823219
2011Q4,24,1,379,0.002638522427440633
2011Q4,25,5,379,0.013192612137203167
2011Q4,27,4,379,0.010554089709762533
2011Q4,28,7,379,0.018469656992084433
2011Q4,29,6,379,0.0158311345646438
2011Q4,30,2,379,0.005277044854881266
2011Q4,31,4,379,0.010554089709762533
2011Q4,32,7,379,0.018469656992084433
2011Q4,33,1,379,0.002638522427440633
2011Q4,37,5,379,0.013192612137203167
2011Q4,38,4,379,0.010554089709762533
2011Q4,39,24,379,0.0633245382585752
2011Q4,40,2,379,0.005277044854881266
2011Q4,42,2,379,0.005277044854881266
2011Q4,44,6,379,0.0158311345646438
2011Q4,45,3,379,0.0079155672823219
2011Q4,46,6,379,0.0158311345646438
2011Q4,47,11,379,0.029023746701846966
2011Q4,48,5,379,0.013192612137203167
2011Q4,49,7,379,0.018469656992084433
2011Q4,50,9,379,0.023746701846965697
2011Q4,52,3,379,0.0079155672823219
2012Q1,0,18,329,0.0547112462006079
2012Q1,1,4,329,0.0121580547112462
2012Q1,3,16,329,0.0486322188449848
2012Q1,4,1,329,0.00303951367781155
2012Q1,5,9,329,0.02735562310030395
2012Q1,6,6,329,0.0182370820668693
2012Q1,7,25,329,0.07598784194528875
2012Q1,8,14,329,0.0425531914893617
2012Q1,9,5,329,0.015197568389057751
2012Q1,10,5,329,0.015197568389057751
2012Q1,11,4,329,0.0121580547112462
2012Q1,12,18,329,0.0547112462006079
2012Q1,13,11,329,0.03343465045592705
2012Q1,14,26,329,0.0790273556231003
2012Q1,15,22,329,0.0668693009118541
2012Q1,16,17,329,0.05167173252279635
2012Q1,17,17,329,0.05167173252279635
2012Q1,18,4,329,0.0121580547112462
2012Q1,19,3,329,0.00911854103343465
2012Q1,20,4,329,0.0121580547112462
2012Q1,21,7,329,0.02127659574468085
2012Q1,22,4,329,0.0121580547112462
2012Q1,23,9,329,0.02735562310030395
2012Q1,24,5,329,0.015197568389057751
2012Q1,25,6,329,0.0182370820668693
2012Q1,26,1,329,0.00303951367781155
2012Q1,27,6,329,0.0182370820668693
2012Q1,28,2,329,0.0060790273556231
2012Q1,29,3,329,0.00911854103343465
2012Q1,30,1,329,0.00303951367781155
2012Q1,31,3,329,0.00911854103343465
2012Q1,32,9,329,0.02735562310030395
2012Q1,34,3,329,0.00911854103343465
2012Q1,37,1,329,0.00303951367781155
2012Q1,38,2,329,0.0060790273556231
2012Q1,39,2,329,0.0060790273556231
2012Q1,40,1,329,0.00303951367781155
2012Q1,42,6,329,0.0182370820668693
2012Q1,43,2,329,0.0060790273556231
2012Q1,44,3,329,0.00911854103343465
2012Q1,45,1,329,0.00303951367781155
2012Q1,46,5,329,0.015197568389057751
2012Q1,47,4,329,0.0121580547112462
2012Q1,48,10,329,0.030395136778115502
2012Q1,49,2,329,0.0060790273556231
2012Q1,51,1,329,0.00303951367781155
2012Q1,52,1,329,0.00303951367781155
2012Q2,0,32,368,0.08695652173913043
2012Q2,1,4,368,0.010869565217391304
2012Q2,2,1,368,0.002717391304347826
2012Q2,3,32,368,0.08695652173913043
2012Q2,4,2,368,0.005434782608695652
2012Q2,5,5,368,0.01358695652173913
2012Q2,6,12,368,0.03260869565217391
2012Q2,7,23,368,0.0625
2012Q2,8,12,368,0.03260869565217391
2012Q2,9,6,368,0.016304347826086956
2012Q2,10,6,368,0.016304347826086956
2012Q2,11,5,368,0.01358695652173913
2012Q2,12,8,368,0.021739130434782608
2012Q2,13,10,368,0.02717391304347826
2012Q2,14,9,368,0.024456521739130436
2012Q2,15,31,368,0.08423913043478261
2012Q2,16,21,368,0.057065217391304345
2012Q2,17,12,368,0.03260869565217391
2012Q2,18,15,368,0.04076086956521739
2012Q2,19,3,368,0.008152173913043478
2012Q2,20,11,368,0.029891304347826088
2012Q2,21,5,368,0.01358695652173913
2012Q2,22,3,368,0.008152173913043478
2012Q2,23,5,368,0.01358695652173913
2012Q2,24,1,368,0.002717391304347826
2012Q2,25,6,368,0.016304347826086956
2012Q2,26,1,368,0.002717391304347826
2012Q2,27,7,368,0.019021739130434784
2012Q2,28,4,368,0.010869565217391304
2012Q2,29,5,368,0.01358695652173913
2012Q2,30,1,368,0.002717391304347826
2012Q2,31,4,368,0.010869565217391304
2012Q2,32,2,368,0.005434782608695652
2012Q2,33,1,368,0.002717391304347826
2012Q2,34,1,368,0.002717391304347826
2012Q2,36,1,368,0.002717391304347826
2012Q2,37,4,368,0.010869565217391304
2012Q2,38,4,368,0.010869565217391304
2012Q2,39,1,368,0.002717391304347826
2012Q2,41,1,368,0.002717391304347826
2012Q2,42,9,368,0.024456521739130436
2012Q2,43,13,368,0.035326086956521736
2012Q2,44,4,368,0.010869565217391304
2012Q2,45,5,368,0.01358695652173913
2012Q2,46,2,368,0.005434782608695652
2012Q2,47,4,368,0.010869565217391304
2012Q2,48,4,368,0.010869565217391304
2012Q2,49,2,368,0.005434782608695652
2012Q2,50,1,368,0.002717391304347826
2012Q2,51,2,368,0.005434782608695652
2012Q2,52,5,368,0.01358695652173913
2012Q3,0,32,386,0.08290155440414508
2012Q3,1,7,386,0.018134715025906734
2012Q3,2,1,386,0.0025906735751295338
2012Q3,3,33,386,0.08549222797927461
2012Q3,4,6,386,0.015544041450777202
2012Q3,5,1,386,0.0025906735751295338
2012Q3,6,6,386,0.015544041450777202
2012Q3,7,26,386,0.06735751295336788
2012Q3,8,14,386,0.03626943005181347
2012Q3,9,8,386,0.02072538860103627
2012Q3,10,8,386,0.02072538860103627
2012Q3,11,1,386,0.0025906735751295338
2012Q3,12,10,386,0.025906735751295335
2012Q3,13,3,386,0.007772020725388601
2012Q3,14,15,386,0.038860103626943004
2012Q3,15,13,386,0.03367875647668394
2012Q3,16,25,386,0.06476683937823834
2012Q3,17,5,386,0.012953367875647668
2012Q3,18,12,386,0.031088082901554404
2012Q3,19,6,386,0.015544041450777202
2012Q3,20,16,386,0.04145077720207254
